Table No.18 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED
UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JANUARY, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
14,HEALTH & GLOW RETAILING PVT LTD(FLYRPG G,Mauritius,DFI MAURITIUS LIMITED,BANGALORE,"Other retail sale of new goods in specialized stores n.e.c (weapons and ammunition, non food product",10.00,0.16,
15,ATC TOWER CO.OF INDIA PVT LTD,Mauritius,American Tower Mauritius,NEW DELHI,SERVICES NEC,88.73,1.43,
16,GRAINGER INDUSTRIAL SUPPLY INDIA PVT LTD,Mauritius,INDIA PACIFIC BRANDS MAURITIUS,MUMBAI,"Wholesale of other machinery, equipment and supplies n.e.c. including computer-controlled
machine tools",172.75,2.78,
17,GRAINGER INDUSTRIAL SUPPLY INDIA PVT LTD,Mauritius,INDIA PACIFIC BRANDS MAURITIUS,MUMBAI,"Wholesale of other machinery, equipment and supplies n.e.c. including computer-controlled machine tools",137.70,2.21,
18,GRAINGER INDUSTRIAL SUPPLY INDIA PVT LTD,Mauritius,INDIA PACIFIC BRANDS MAURITIUS,MUMBAI,"Wholesale of other machinery, equipment and supplies n.e.c. including computer-controlled
machine tools",480.15,7.72,
19,TIKONA DIGITAL NETWORKS PVT LTD,Mauritius,"GS Investment Partners (Mauritius)
IV Lt",MUMBAI,"TELEPHONE COMMUNICATION
SERVICES",10.79,0.17,
20,TIKONA DIGITAL NETWORKS PVT LTD,Mauritius,Green Lotus Limited,MUMBAI,TELEPHONE COMMUNICATION SERVICES,32.05,0.52,
21,TIKONA DIGITAL NETWORKS PVT LTD,Mauritius,GS Investment Partners (Mauritius) I Lim,MUMBAI,TELEPHONE COMMUNICATION SERVICES,120.36,1.93,
22,CEREBRA INTEGRATED TECHNOLOGIES LIMITED,Singapore,CIMELIA RESOURCE RECOVERY PTE LTD,BANGALORE,Manufacture of computers and peripheral equipment n.e.c.,40.25,0.65,
23,CEREBRA INTEGRATED TECHNOLOGIES LIMITED,Singapore,SCENIC OVERSEAS (S) PTE LTD,BANGALORE,Manufacture of computers and peripheral equipment n.e.c.,63.00,1.01,
24,CEREBRA INTEGRATED TECHNOLOGIES LIMITED,Singapore,LEYTRON TECHNOLOGY PTE LTD,BANGALORE,Manufacture of computers and peripheral equipment n.e.c.,57.75,0.93,
25,DFS INDIA PVT LTD,Singapore,DFS VENTURE SINGAPORE PTE LTD,MUMBAI,"Retail sale in non- specialized stores with food, beverages or tobacco predominating",188.62,3.03,
26,DFS INDIA PVT LTD,Singapore,DFS VENTURE SINGAPORE PTE LTD,MUMBAI,"Retail sale in non- specialized stores with food, beverages or tobacco predominating",187.87,3.02,
27,ICICI BANK LTD.,Singapore,BAGAWATISWAR,AHMEDABAD,Monetary intermediation of,7.11,0.11,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,KRISHNA IYER,,"commercial banks, saving banks. postal savings bank and discount houses",,,
28,TELEWINGS COMMUNICATION SERVICES PVT LTD,Singapore,Telenor South Asia Investment Pte Ltd.,NEW DELHI,"Installation of telecommunications  wiring, computer network and cable television wiring, including fibre","9,785.07",157.25,
29,FASHION 365 RETAIL PRIVATE LIMITED,Sri Lanka,TIMEX GARMENTS (PRIVATE) LIMITED,BANGALORE,"Retail sale of readymade garments, hosiery goods, other articles of clothing
and clothing accessories",6.46,0.10,
30,AXIS BANK LIMITED,UAE,RAMESH VENKATESAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.74,0.03,
31,AXIS BANK LIMITED,UAE,K P VISWANATHAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.18,0.00,
32,AXIS BANK LIMITED,UAE,RAMESH VENKATESAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.82,0.01,
33,AXIS BANK LIMITED,UAE,JACOB NINAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.52,0.02,
34,AXIS BANK LIMITED,UAE,K P VISWANATHAN,AHMEDABAD,"BANKING ACTIVITIES, INCLUDING FINANCIAL SERVICES",0.39,0.01,
35,ICICI BANK LTD.,United Kingdom,HITESH SETHIA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",4.38,0.07,
36,ICICI BANK LTD.,United Kingdom,RAJIV ARORA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.78,0.01,
37,ICICI BANK LTD.,United Kingdom,KIRAN TALWAR,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.31,0.02,
38,ICICI BANK LTD.,United Kingdom,RAJIV ARORA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",3.91,0.06,
39,ICICI BANK LTD.,United Kingdom,RAJIV ARORA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.98,0.02,
40,ICICI BANK LTD.,United,RAJIV ARORA,AHMEDABAD,Monetary intermediation of,0.52,0.01,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,Kingdom,,,"commercial banks, saving banks. postal savings bank and discount houses",,,
41,ICICI BANK LTD.,United Kingdom,RAJIV ARORA,AHMEDABAD,"Monetary intermediation of commercial banks, saving
banks. postal savings bank and discount houses",1.47,0.02,
42,ICICI BANK LTD.,United Kingdom,RAJIV ARORA,AHMEDABAD,"BANKING ACTIVITIES,
INCLUDING FINANCIAL SERVICES",4.21,0.07,
43,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",3.66,0.06,
44,ICICI BANK LTD.,United Kingdom,KIRAN TALWAR,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.50,0.02,
45,JM FINANCIAL LTD,U.S.A,VIKRAM SHANKAR PANDIT,MUMBAI,Activities of holding companies,221.87,3.57,
46,NCH INDIA PRIVATE LIMITED,U.S.A,NCH CORPORATION,CHENNAI,"Manufacture of various other chemical products n.e.c.(antiknock preparations, anti-freeze preparations,",6.05,0.10,
47,DFS INDIA PVT LTD,British Virginia,FLEMINGO INTERNATIONAL (BVI)LTD,MUMBAI,"Retail sale in non- specialized stores with food, beverages or tobacco predominating",180.50,2.90,
48,DFS INDIA PVT LTD,British Virginia,FLEMINGO INTERNATIONAL (BVI)LTD,MUMBAI,"Retail sale in non- specialized stores with food, beverages or tobacco predominating",181.22,2.91,
Grand Total,,,,,,"13,012.63",209.12,
