Table No.18 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED  UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING APRIL, 2015",,,,,,,,
11,VOGEL BUSINESS MEDIA INDIA PVT LTD,Germany,Vogel GMBH,MUMBAI,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",10.31,0.16,
12,DURAVIT INDIA PVT. LTD.,Germany,DURAVIT A G,AHMEDABAD,"Manufacture of non-
refractory ceramic sanitary wares: sinks, baths,",85.86,1.37,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,"watercloset pans, flushing cistern",,,
13,DURAVIT INDIA PVT. LTD.,Germany,DURAVIT AG,AHMEDABAD,"Manufacture of non- refractory ceramic sanitary wares: sinks, baths, watercloset pans, flushing cistern",56.09,0.89,
14,DURAVIT INDIA PVT. LTD.,Germany,DURAVIT AG,AHMEDABAD,"Manufacture of non- refractory ceramic sanitary wares: sinks, baths, watercloset pans, flushing cistern",17.89,0.29,
15,DURAVIT INDIA PVT. LTD.,Germany,DURAVIT AG,AHMEDABAD,"Manufacture of non- refractory ceramic sanitary wares: sinks, baths, watercloset pans, flushing cistern",47.87,0.76,
16,DURAVIT INDIA PVT. LTD.,Germany,DURAVIT AG,AHMEDABAD,"Manufacture of non- refractory ceramic sanitary wares: sinks, baths, watercloset pans, flushing cistern",26.21,0.42,
17,DURAVIT INDIA PVT. LTD.,Germany,DURAVIT AG,AHMEDABAD,"Manufacture of non- refractory ceramic sanitary wares: sinks, baths, watercloset pans, flushing cistern",59.27,0.94,
18,DURAVIT INDIA PVT. LTD.,Germany,DURAVIT AG,AHMEDABAD,"Manufacture of non- refractory ceramic sanitary wares: sinks, baths, watercloset pans, flushing cistern",31.40,0.50,
19,M/S PDA-HAB MEDIA & TRADEFAIRS PVT PTD,Germany,HEALTH AND BEAUTY HOLDING GMBH,BANGALORE,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",10.00,0.16,
20,CASA DECOR PVT LTD,Italy,POLTRONA FRAU SPA,MUMBAI,Retail sale of household furniture,50.00,0.80,
21,CNI ENTERPRISES (INDIA) PVT. LTD.,Malaysia,CNI INCORPORATION SDN BHD,BANGALORE,Other information service activities n.e.c.,11.48,0.18,
22,SUN DIRECT TV PVT LTD,Mauritius,SOUTH ASIA ENTERTAINMENT HOLDINGS LTD,CHENNAI,Other satellite telecommunications activities,255.03,4.06,
23,SIS CASH SERVICES PVT LTD,Singapore,Singpai Pte. Ltd.,PATNA,FINANCIAL LEASING COMPANIES' ACTIVITIES,440.02,7.01,
24,SUTURES INDIA PVT LTD,Singapore,TPG GROWTH II SF PTE LTD,BANGALORE,Manufacture of other medical and dental instruments n.e.c.,"1,250.00",19.92,
25,ORDAIN HEALTH CARE GLOBAL PVT LTD,Spain,CHEMO ESPANA S.L,CHENNAI,Manufacture of medicinal substances used in the manufacture of,1.24,0.02,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,"pharmaceuticals: antibiotics, endocrine",,,
26,FASHION 365 RETAIL PRIVATE LIMITED,Sri Lanka,TIMEX GARMENTS (PRIVATE) LIMITED,BANGALORE,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",5.00,0.08,
27,ICICI BANK LTD.,United Kingdom,HITESH SETHIA,AHMEDABAD,"BANKING ACTIVITIES, INCLUDING FINANCIAL SERVICES",5.31,0.08,
28,ICICI BANK LTD.,United Kingdom,HITESH SETHIA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.24,0.02,
29,ICICI BANK LTD.,United Kingdom,HITESH SETHIA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",2.05,0.03,
30,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"BANKING ACTIVITIES, INCLUDING FINANCIAL SERVICES",5.61,0.09,
31,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",8.24,0.13,
32,ICICI BANK LTD.,United Kingdom,AARTI SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.10,0.00,
33,ICICI BANK LTD.,United Kingdom,MR. VASUDEVAN M,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.77,0.01,
34,TRENT HYPERMARKET LTD,United Kingdom,Tesco Overseas Investment,MUMBAI,Other retail sale in non- specialized stores,"1,499.55",23.90,
35,PANACEA PUBLISHING PVT LTD,United Kingdom,"Panacea Publishing International Ltd,",MUMBAI,Publishing of journals and periodicals,1.00,0.02,
Grand Total,,,,,,"4,927.54",78.52,
