"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING APRIL 2022 TO JUNE 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,WELL PRIVATE LIMITED,,,buildings carried out on own-account basis or on a fee or contract basis,Private Holdings (4) INC,,,,the company
62,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,Cargo handling incidental to water transport,Flourishing Trade and Investment Limited,Mauritius,"46,01,55,706.2800",6041341.6992,Received in the company
63,SECLORE TECHNOLOGY PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and computer service
activities n.e.c",Seclore Technology Inc.,U.S.A,"47,01,80,431.7300",6022194.5643,Received in the company
64,BIKAJI FOODS INTERNATIONAL LIMITED,RAJASTHAN,Bikaner,"Manufacture of papads, appalam and similar food
products",India Acorn Fund Ltd,Mauritius,"45,32,63,107.0000",5950849.4009,Received in the company
65,ANI Technologies Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",MACRITCHIE INVESTMENTS PTE. LTD.,Singapore,"44,50,57,200.0000",5843114.807,Received in the company
66,KOGTA FINANCIAL (INDIA )LIMITED,RAJASTHAN,Ajmer,Other credit granting,Javelin,Mauritius,"45,61,03,467.7500",5841893.1093,Received in the company
67,Malladi Drugs & Pharmaceuticals Limited,TAMIL NADU,Chennai,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES AND VEGETABLE
ALKALOIDS;",Vacca Investments,Mauritius,"44,90,50,483.2000",5807741.1875,Received in the Company
68,KNOWLARITY COMMUNICATIONS,HARYANA,Gurgaon,Other information service activities,Gupshup Inc.,U.S.A,"43,97,17,618.0000",5773011.9289,Received in the
,PRIVATE LIMITED,,,n.e.c.,,,,,company
69,SPI MUSIC PRIVATE LIMITED,ANDHRA PRADESH,Nellore,Activities of music publishing,believe international SARL,Luxembourg,"43,91,68,044.8300",5765796.6336,Received in the company
70,Asset Reconstruction Company India Limited,MAHARASHTRA,Mumbai,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Avenue India Resurgence Pte. Ltd,Singapore,"42,57,20,000.0000",5505999.149,Received in the Company
71,Amagi Media Labs Private Limited,KARNATAKA,Bengaluru,Advertising,Norwest Venture Partners X – Mauritius,Mauritius,"42,34,74,752.5400",5423975.9479,Received in the company
72,DBL BORGAON WATAMBARE HIGHWAYS PRIVATE LIMITED,MADHYA PRADESH,Bhopal,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and
subways",Cube Highways and Infrastructure III Pte. Ltd.,Singapore,"42,12,02,352.2300",5394870.4474,Received in the company
73,Gallagher Insurance Brokers Private Limited,MAHARASHTRA,Mumbai,Activities of insurance agents and brokers,Arthur J. Gallagher & Co.,U.S.A,"39,55,00,000.0000",5115152.3617,Received in the Company
74,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,Cargo handling incidental to water transport,Flourishing Trade and Investment Limited,Mauritius,"38,08,06,065.0000",4999567.5994,Received in the company
75,SKY GATE HOSPITALITY PRIVATE LIMITED,HARYANA,Gurgaon,Restaurants without bars,Alpha Wave Ventures LP,Cayman Islands,"37,55,05,884.0000",4929982.0134,Received in the company
76,IMPERIAL AUTO INDUSTRIES LTD.,DELHI,South Delhi,"Manufacture of other attachments to motor vehicles
n.e.c.",Stone Plant Investments B.V.,Netherland,"38,13,27,531.0000",4884143.2553,Received in the company
77,Nreach Online Services Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",GIFT MANAGEMENT ASIA PTE. LTD.,Singapore,"36,86,94,069.6900",4840550.3335,Received in the company
78,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,"Cargo handling incidental to water
transport",Flourishing Trade and Investment Limited,Mauritius,"36,74,29,700.0000",4823950.5408,"Received in the
company"
79,IMPERIAL AUTO,DELHI,South Delhi,Manufacture of,Stone Plant Investments,Netherland,"36,93,83,396.0000",4731159.6345,Received in
,INDUSTRIES LTD.,,,other attachments to motor vehicles n.e.c.,B.V.,,,,the company
80,EPIFI TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c","Alpha Wave Ventures II, LP",Cayman Islands,"36,82,03,985.0000",4716053.4284,Received in the company
81,M2P SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Other information technology and computer service
activities n.e.c",Insight Luxembourg XII S.a r.l,Luxembourg,"36,22,94,790.0000",4685696.7148,Received in the Company
82,R-PAC (INDIA) PRIVATE LIMITED,MAHARASHTRA,THANE,Manufacture of other articles n.e.c.,R-Pac International Holding Co. LLC,U.S.A,"33,39,89,258.0000",4384914.0713,Received in the company
83,IOPEX TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Tiruvallur,"Computer consultancy and computer facilities management
activities",IOPEX TECHNOLOGIES INC.,U.S.A,"34,08,40,500.0000",4365574.7196,Received in the company
84,I-NURTURE EDUCATION SOLUTIONS PRIVATE LIMITED,Karnataka,Bengaluru,Higher education not leading to a degree or equivalent,ADM Capital Limosa Fund LP,Cayman Islands,"33,76,22,530.9400",4324358.1259,Received in the company
85,SBFC Finance Private Limited,MAHARASHTRA,Mumbai,Other credit granting,Malabar Select Fund,Mauritius,"31,50,00,000.0000",4135605.8597,"Received in
the company"
86,VISAGE LINES PERSONAL CARE PRIVATE LIMITED,DELHI,West Delhi,"Manufacture of cosmetics and toileteries (includes manufacture of pre- shave, shaving or after shave preparations; personal deodorants and anti-respirants; perfumed bath bath
salts and other bath prepa",Camil Investments Limited,Cayman Islands,"30,00,35,321.2500",3939135.9768,Received in the company
87,Gurgaon Realtech Limited,DELHI,West Delhi,"Construction of buildings carried out on own-account
basis or on a fee or",CPP Investment Board Private Holdings (4) INC,Canada,"30,44,05,531.0000",3898906.0591,Received in the company
,,,,contract basis,,,,,
88,BIKAJI FOODS INTERNATIONAL LIMITED,RAJASTHAN,Bikaner,"Manufacture of papads, appalam and similar food products",Ashoka India Equity Investment Trust Plc,United Kingdom,"29,58,97,393.0000",3884809.4996,Received in the company
89,FERNS N PETALS PVT LTD,DELHI,South West Delhi,"Manufacture of biscuits, cakes, pastries, rusks etc.","LIGHTHOUSE INDIA FUND III, LIMITED",Mauritius,"28,81,50,906.9000",3690712.5608,Received in the company
90,Le Travenues Technology Limited,HARYANA,Gurgaon,Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily searchable format,Placid Holdings,Mauritius,"28,31,60,116.0000",3662217.7904,Received in the Company
91,JRK SOLAR PROJECTS PRIVATE LIMITED,RAJASTHAN,Jaipur,"Electric power generation using
solar energy",TEP SOLAR INDIA MAURITIUS,Mauritius,"28,22,94,643.5900",3651024.3056,"Received in the
Company"
92,M2P SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Other information technology and computer service activities n.e.c,Insight Luxembourg XII SARL,Luxembourg,"28,47,17,460.0000",3646736.0704,Received in the company
93,IMPERIAL AUTO INDUSTRIES LTD.,DELHI,South Delhi,"Manufacture of other attachments
to motor vehicles n.e.c.",Stone Plant Investments B.V.,Netherland,"27,70,37,548.0000",3583032.283,Received in the Company
94,TRUMPF METAMATION PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Publishing of operating business and other applications,Trumpf International Beteiligungs-GmbH,Germany,"27,64,61,194.0000",3575578.0769,Received in the Company
95,Kings Learning Private Limited,MAHARASHTRA,Mumbai,EDUCATIONAL SUPPORT SERVICES,OPEN EDUCATION HOLDINGS INC,U.S.A,"27,54,85,308.0000",3562956.571,Received in the Company
96,Curefoods India Private Limited,KARNATAKA,Bengaluru,"Other semi- processed, processed or instant foods n.e.c. except
farinaceous products and",Three State Capital Pte. Ltd,Singapore,"27,18,90,722.2500",3516466.4224,Received in the Company
,,,,"malted foods and manufacturing activities like manufacture of egg powder, sambar
powder etc. (this excludes the",,,,,
97,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and computer service
activities n.e.c",Sofina Ventures SA,Belgium,"25,95,19,524.0000",3323994.2824,Received in the company
98,FINOVA CAPITAL PRIVATE LIMITED,RAJASTHAN,Jaipur,Other credit granting,"NORWEST CAPITAL, LLC",U.S.A,"24,99,97,321.8000",3233310.7232,Received in the Company
99,Max Speciality Films Limited,PUNJAB,Nawanshahr,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",Toppan Inc.,Japan,"24,17,19,688.0000",3173515.4225,Received in the company
100,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and
computer service activities n.e.c",INTERNET FUND V PTE. LTD.,Singapore,"24,41,92,085.7600",3158229.3911,Received in the Company
101,ES SOLAR PRIVATE LIMITED,KARNATAKA,Bidar,"Electric power generation using
solar energy",O2 Power SG Pte. Ltd.,Singapore,"23,36,69,267.0100",3022133.7623,Brownfield
102,Cellix Bio Private Limited,TELANGANA,Hyderabad,"Research and experimental development on natural sciences and
engineering",PRISM SCIENCE LLC,U.S.A,"22,84,79,991.4600",2955018.8822,Received in the Company
103,"ZETWERK MANUFACTURING BUSINESSES PRIVATE
LIMITED",KARNATAKA,Bengaluru,"Manufacture of other fabricated metal products
n.e.c.",D1 Capital Partners Master LP,Cayman Islands,"22,28,26,465.6200",2925468.0537,Received in the company
104,LIFECELL INTERNATIONAL PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Other human health activities n.e.c. (including independent ambulance
activities)",OrbiMed Asia IV Mauritius Limited,Mauritius,"22,65,83,863.4200",2902145.684,Received in the company
105,TECHASPECT SOLUTIONS PRIVATE LIMITED,Telangana,Hyderabad,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",OMNICOM GROUP INC.,U.S.A,"21,90,84,418.0000",2833502.3468,Received in the Company
106,Boxseat Ventures Private Limited,KARNATAKA,Bengaluru,"Activities of other commission agents
n.e.c. (including commission agents working in emerging areas for wholesale trade",10 Club PTE. Ltd,Singapore,"21,99,99,916.5200",2817816.7614,Received in the company
107,API HOLDINGS LIMITED,MAHARASHTRA,Mumbai,"Other land
transport services n.e.c","B Capital Asia II, Ltd",U.S.A,"21,42,17,815.5000",2812445.8826,"Received in
the company"
108,FERNS N PETALS PVT LTD,DELHI,South West Delhi,"Manufacture of biscuits, cakes, pastries, rusks etc.","LIGHTHOUSE INDIA FUND III, LIMITED",Mauritius,"21,55,35,852.0000",2787607.3891,Received in the Company
109,Rivulis Irrigation India Private Limited,MAHARASHTRA,Pune,Manufacture of spraying machinery for agricultural use,RIVULIS IRRIGATION LIMITED,Israel,"20,91,96,579.6000",2679444.7823,Received in the company
110,Duroflex Private Limited,KERALA,Alappuzha,"Manufacture of mattresses and
pillows","NORWEST CAPITAL, LLC",U.S.A,"20,00,01,490.1900",2625801.0628,"Received in the
company"
111,"ST. MARY'S EDUMANAGEMENT SERVICES PRIVATE
LIMITED",TELANGANA,Hyderabad,EDUCATIONAL SUPPORT SERVICES,ISP INDIA LIMITED,United Kingdom,"19,99,99,200.0000",2625770.9951,Received in the company
112,Luker Electric Technologies Private Limited,KERALA,Ernakulam,Manufacture of electric lighting equipment,SG Luminate Holdings LLC,U.S.A,"19,99,95,345.2400",2625720.3863,Received in the company
113,ES ENERGY PRIVATE LIMITED,KARNATAKA,Tumakuru,Electric power generation using solar energy,O2 Power SG Pte. Ltd.,Singapore,"19,95,73,012.0000",2581153.8904,Brownfield
114,SKY GATE HOSPITALITY PRIVATE LIMITED,HARYANA,Gurgaon,Restaurants without bars,Alpha Wave Ventures LP,Cayman Islands,"19,65,19,356.0000",2580084.4451,Received in the company
115,KOGTA FINANCIAL (INDIA )LIMITED,RAJASTHAN,Ajmer,Other credit granting,NHPEA Rimo Holding B.V.,Netherland,"19,98,21,996.5000",2559372.6577,"Received in
the company"
116,VAHO FOREX PRIVATE LIMITED,DELHI,Central Delhi,Security and commodity contracts brokerage,Wise Payments Limited,United Kingdom,"18,94,30,000.0000",2449970.4472,Received in the Company
