"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING OCTOBER 2021 TO DECEMBER 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
22,,Lenskart Solutions Private Limited,,DELHI,,South Delhi,,"Manufacture of ophthalmic goods, eyeglasses, sunglasses, lenses ground to prescription, contact lenses, safety goggles
etc.",,Bay Capital Holdings Ltd,,Mauritius,,"74,99,99,943.0000",,9950578.0358,,Received in the company,
23,,RESILIENT INNOVATIONS PRIVATE LIMITED,,DELHI,,South Delhi,,Other information technology and computer service activities n.e.c,,"IP X Resilient, Ltd.",,U.S.A,,"73,82,03,913.0000",,9853847.118,,Received in the company,
24,,GREEN AGREVOLUTION PRIVATE LIMITED,,BIHAR,,Patna,,Other supporting activities including agricultural,,V-SCIENCES INVESTMENTS PTE LTD,,Singapore,,"66,76,76,796.0600",,8858360.7557,,Received in the,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,,,,,"gardening (excluding parks and gardening activities), n.e.c.",,,,,,,,,,company,
25,,ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Manufacture of other fabricated metal products n.e.c.,,D1 Capital Partners Master LP,,Cayman Islands,,"65,16,17,120.0000",,8746949.454,,Received in the Company,
26,,BACKWATER TECHNOLOGIES PRIVATE LIMITED,,KERALA,,Ernakulam,,Other information technology and computer service activities n.e.c,,True Software Scandinavia AB,,Sweden,,"64,57,10,807.4200",,8619211.395,,Received in the company,
27,,ReNew Power Private Limited,,DELHI,,South West Delhi,,Electric power generation using other non conventional sources,,RENEW ENERGY GLOBAL PLC,,United Kingdom,,"64,27,04,159.0300",,8579077.4252,,Received in the company,
28,,ACME FORMULATION PRIVATE LIMITED,,HIMACHAL PRADESH,,Solan,,Manufacture of allopathic pharmaceutical preparations,,PAGAC Ariane Pte Ltd,,Singapore,,"60,38,71,851.0000",,8106043.2504,,Received in the Company,
29,,ReNew Power Private Limited,,DELHI,,South West Delhi,,Electric power generation using other non conventional sources,,RENEW ENERGY GLOBAL PLC,,United Kingdom,,"60,67,45,145.6000",,8099081.8378,,Received in the company,
30,,LEARNINGMATE SOLUTIONS PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Educational support activities,,SPi Global Content Holdings Pte. Ltd.,,Singapore,,"57,93,35,045.5700",,7686292.0239,,Received in the company,
31,,ANI Technologies Private Limited,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,MACRITCHIE INVESTMENTS PTE. LTD.,,Singapore,,"57,49,88,800.0000",,7675185.1758,,Received in the company,
32,,CALIBRE CHEMICALS PVT LTD,,MAHARASHTRA,,Mumbai,,MANUFACTURE OF ORGANIC AND INORGANIC CHEMICAL COMPOUNDS N.E.C.,,EVERCHEM ASIA PTE. LTD.,,Singapore,,"56,95,42,525.8000",,7602486.085,,Received in the company,
33,,"LEARNINGMATE
SOLUTIONS PRIVATE LIMITED",,MAHARASHTRA,,Mumbai,,Educational support activities,,SPi Global Content Holdings Pte. Ltd.,,Singapore,,"56,27,76,904.3400",,7554407.3123,,"Received in
the Company",
34,,CREATORBOX SOFTWARES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Sendinblue,,France,,"50,94,38,707.0400",,6800195.7816,,Received in the company,
35,,PB FINTECH LIMITED,,HARYANA,,Gurgaon,,Other information service activities n.e.c.,,Bay Capital Holdings Limited,,Mauritius,,"50,00,00,137.0000",,6711726.5509,,Received in the Company,
36,,IDEAL CURES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Manufacture of pharmaceuticals, medicinal
chemical and botanical products",,COLORCON NETHERLANDS B.V.,,Netherland,,"49,91,96,289.0000",,6663475.8053,,Received in the company,
37,,VAY NETWORK SERVICES,,MAHARASHTRA,,Pune,,Management consultancy,,MW XO Digital Finance,,Cayman,,"49,17,65,605.2700",,6601190.7307,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,PRIVATE LIMITED,,,,,,activities,,Fund Holdco Ltd,,Islands,,,,,,the Company,
38,,AAB INDUSTRIAL LOGISTICS AND WAREHOUSING PRIVATE LIMITED,,Tamil Nadu,,Chennai,,Other specialized construction activities,,ESR India Fund SPV 12 Pte Ltd,,Singapore,,"48,81,87,504.0000",,6553160.2693,,Greenfield,
39,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,Norwest Capital LLC,,U.S.A,,"47,30,20,198.0100",,6314066.6594,,Received in the company,
40,,HARITA-NTI LIMITED,,TAMIL NADU,,Tiruvallur,,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",,Northern Technologies International Corporation,,U.S.A,,"46,29,98,405.8000",,6215035.6836,,Received in the Company,
41,,"ZETWERK MANUFACTURING BUSINESSES PRIVATE
LIMITED",,KARNATAKA,,Bengaluru,,Manufacture of other fabricated metal products n.e.c.,,Avenir Zetwerk Investors LLC,,U.S.A,,"46,54,40,800.0000",,6175207.1379,,Received in the company,
42,,ANI Technologies Private Limited,,KARNATAKA,,Bengaluru,,"Other information technology and computer service
activities n.e.c",,PLUM WOOD INVESTMENT LTD,,Mauritius,,"45,92,90,400.0000",,6130795.712,,"Received in the
company",
43,,ANI Technologies Private Limited,,KARNATAKA,,Bengaluru,,"Other information technology and computer service
activities n.e.c",,PLUM WOOD INVESTMENT LTD,,Mauritius,,"44,74,12,000.0000",,5936011.1446,,"Received in the
company",
44,,GREEN AGREVOLUTION PRIVATE LIMITED,,BIHAR,,Patna,,"Other supporting activities including agricultural gardening (excluding parks and gardening activities),
n.e.c.",,V-SCIENCES INVESTMENTS PTE LTD,,Singapore,,"44,57,14,539.0000",,5913490.1854,,Received in the company,
45,,PNB MetLife India Insurance Co. Ltd.,,KARNATAKA,,Bengaluru,,Life insurance,,Metlife International Holdings LLC,,U.S.A,,"42,98,11,696.0000",,5769555.563,,Received in the Company,
46,,FIVE-STAR BUSINESS FINANCE LIMITED,,TAMIL NADU,,Chennai,,Other credit granting,,Bay Capital Holdings,,Mauritius,,"43,08,03,368.3400",,5715657.1474,,Received in the company,
47,,ANI Technologies Private Limited,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,FORT CANNING INVESTMENTS PTE. LTD.,,Singapore,,"42,63,00,000.0000",,5690426.3882,,Received in the company,
48,,DMI FINANCE PRIVATE LIMITED,,DELHI,,New Delhi,,"Other financial service activities, except insurance
and pension funding activities, n.e.c.",,DMI Income Fund Pte Ltd,,Singapore,,"42,17,36,360.0000",,5661156.6986,,Received in the Company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
49,,VANAMALI ORGANICS PRIVATE LIMITED,,TELANGANA,,K.V.Rangareddy,,MANUFACTURE OF ORGANIC AND INORGANIC CHEMICAL COMPOUNDS N.E.C.,,Wavelength Enterprises Limited,,Israel,,"41,49,60,450.0000",,5570200.6135,,Received in the Company,
50,,ANI Technologies Private Limited,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,MACRITCHIE INVESTMENTS PTE. LTD,,Singapore,,"39,90,16,800.0000",,5356181.834,,Received in the Company,
51,,ANI Technologies Private Limited,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,FORT CANNING INVESTMENTS PTE. LTD.,,Singapore,,"38,24,63,600.0000",,5133980.791,,Received in the Company,
52,,Oravel Stays Limited,,GUJARAT,,Ahmedabad,,"Provision of short stay accommodation n.e.c. (e.g. holiday homes, private guest houses etc.)",,DIG INVESTMENT VIII AB,,Sweden,,"37,17,08,336.0000",,4989608.0487,,Received in the Company,
53,,Bolttech Device protection India Private Limited,,MAHARASHTRA,,Mumbai,,Security systems service activities,,RSCO LLC,,U.S.A,,"37,31,45,431.8600",,4980897.5184,,Received in the company,
54,,PLUTOCRAT COMMERCIAL REAL ESTATE PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Construction of buildings carried out on own-account basis or on a fee or contract basis,,CPP Investment Board Private Holdings (4) Inc.,,Canada,,"37,50,00,000.0000",,4975289.396,,Received in the company,
55,,VILLAIN LIFESTYLE PRIVATE LIMITED,,GUJARAT,,Ahmedabad,,Manufacture of perfumes and cologne de-eau,,Mensa Brand Technologies PTE LTD,,Singapore,,"34,37,03,906.8000",,4587900.0258,,Received in the company,
56,,VERITAS FINANCE PRIVATE LIMITED,,TAMIL NADU,,Chennai,,Other credit granting,,Evolvence India Fund III Ltd,,Mauritius,,"33,00,00,000.0000",,4378254.6685,,Received in the company,
57,,Terracis Technologies Limited,,MAHARASHTRA,,Mumbai,,Computer consultancy and computer facilities management activities,,FALCON SG HOLDING PHILIPPINES INC,,Philippines,,"32,73,45,944.0600",,4343042.1448,,Received in the company,
58,,VER SE INNOVATION PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,CVC VERSE LTD LLC,,U.S.A,,"31,76,06,930.5500",,4263380.5689,,Received in the Company,
59,,MAGNON SOLUTIONS PRIVATE LIMITED,,DELHI,,South Delhi,,Other information service activities n.e.c.,,OMNICOM APIMA INVESTMENTS LIMITED,,United Kingdom,,"31,61,32,257.0000",,4243585.3631,,Received in the Company,
60,,Catabel Industrial logistics and warehousing private limited,,TAMIL NADU,,Kanchipuram,,Other specialized construction activities,,ESR India Fund SPV 12 Pte. Ltd.,,Singapore,,"31,50,60,213.3000",,4229194.8387,,Greenfield,
61,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance and pension funding activities,
n.e.c.",,"Norwest Capital, LLC",,U.S.A,,"30,77,61,650.3000",,4108128.1167,,Received in the company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
62,,Integrace Private Limited,,KARNATAKA,,Bengaluru,,Wholesale of pharmaceutical and medical goods,,V-Sciences Investments Pte. Ltd.,,Singapore,,"30,00,00,000.0000",,4027034.8271,,Received in the Company,
63,,BACKWATER TECHNOLOGIES PRIVATE LIMITED,,KERALA,,Ernakulam,,Other information technology and computer service activities n.e.c,,True Software Scandinavia AB,,Sweden,,"29,01,97,738.6700",,3895454.6679,,Received in the Company,
64,,Isafety Systems Private Limited,,TELANGANA,,Hyderabad,,Computer consultancy and computer facilities management activities,,ProPharma Group MIS Holdings Limited,,United Kingdom,,"28,77,15,540.0000",,3817248.2006,,Received in the company,
65,,GEEBEE EDUCATION PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,EDUCATIONAL SUPPORT SERVICES,,Leap Technologies Private Limited,,Singapore,,"26,40,00,000.0000",,3523979.7478,,Received in the company,
66,,Prime Meiden Limited,,DELHI,,Central Delhi,,"Manufacture of electric power distribution transformers, arc- welding transformers, fluorescent ballasts, transmission and distribution
voltage regulators",,MEIDENSHA CORPORATION,,Japan,,"26,11,15,162.0000",,3485471.7528,,Received in the company,
67,,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Udupi,,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",,TECHNOPRO HOLDINGS INC,,Japan,,"24,97,30,301.8400",,3333501.9928,,Received in the company,
68,,ANI Technologies Private Limited,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,FORT CANNING INVESTMENTS PTE LTD.,,Singapore,,"24,83,09,600.0000",,3333171.357,,Received in the Company,
69,,GARAGEPRENEURS INTERNET PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information service activities n.e.c.,,Das Capital SG Pte. Ltd.,,Singapore,,"24,22,15,044.0000",,3251361.3928,,Received in the Company,
70,,HUSYS CONSULTING LIMITED,,TELANGANA,,Hyderabad,,"Human resources provision
and management of human resources functions",,P20 WPP ACQUISITION B.V.,,Netherland,,"24,09,04,822.3200",,3233773.6984,,"Received in
the Company",
71,,HONASA CONSUMER PRIVATE LIMITED,,DELHI,,West Delhi,,Manufacture of other articles n.e.c.,,EVOLVENCE INDIA FUND III LTD,,Mauritius,,"22,84,80,000.0000",,3031344.3232,,Received in the company,
72,,FIRESCORE INTERACTIVE PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Other information technology and computer service activities n.e.c,,Crazy Labs Ltd,,Israel,,"22,47,66,580.0000",,3017142.8188,,Received in the Company,
73,,VER SE INNOVATION PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,"B CAPITAL ASIA II, LIMITED",,U.S.A,,"22,34,07,703.9800",,2998902.0153,,Received in the Company,
74,,SGD Pharma India Private Limited,,TELANGANA,,Mahabub Nagar,,Manufacture of laboratory or pharmaceutical glassware,,Netherlands Glass Investment BV,,Netherland,,"22,22,27,874.0000",,2983064.6272,,Received in the,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,,,,,,,,,,,,,,,Company,
75,,GEEBEE EDUCATION PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,EDUCATIONAL SUPPORT SERVICES,,Leap Technologies Private Limited,,Singapore,,"21,60,00,000.0000",,2883256.1573,,Received in the company,
76,,Shriji Polymers (India) Limited,,MADHYA PRADESH,,Ujjain,,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",,Sundara (Mauritius) Ltd,,Mauritius,,"21,43,74,400.0000",,2861556.985,,Received in the company,
77,,Axiom Energy Conversion Limited,,TELANGANA,,Hyderabad,,Manufacture of other electronic components n.e.c,,KIRAN PALLAVI INVESTMENTS LLC,,U.S.A,,"20,50,00,000.0000",,2719824.8698,,Received in the company,
78,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,"Norwest Capital, LLC",,U.S.A,,"20,21,47,300.0000",,2713514.0577,,Received in the Company,
79,,ANI Technologies Private Limited,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,PLUM WOOD INVESTMENT LTD,,Mauritius,,"20,19,56,000.0000",,2710946.1518,,Received in the Company,
80,,GREEN URJA PRIVATE LIMITED,,DELHI,,South Delhi,,Electric power generation using solar energy,,JLT Energy 9 SAS,,France,,"19,18,90,644.4000",,2575834.36,,Received in the Company,
81,,GREEN URJA PRIVATE LIMITED,,DELHI,,South Delhi,,Electric power generation using solar energy,,JLT Energy 9 SAS,,France,,"19,18,90,644.4000",,2575834.36,,Received in the Company,
82,,ASSEMBLAGE ENTERTAINMENT PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Other creative arts and entertainment activities,,Comino Media Limited,,United Kingdom,,"19,19,66,787.1800",,2562451.0238,,Received in the company,
83,,"LEARNINGMATE
SOLUTIONS PRIVATE LIMITED",,MAHARASHTRA,,Mumbai,,Educational support activities,,SPi Global Content Holdings Pte. Ltd.,,Singapore,,"19,29,27,415.6900",,2559652.6013,,"Received in
the company",
84,,VAY NETWORK SERVICES PRIVATE LIMITED,,MAHARASHTRA,,Pune,,Management consultancy activities,,MCP3 SPV LLC,,U.S.A,,"19,00,00,089.0900",,2550456.5864,,Received in the Company,
85,,Isafety Systems Private Limited,,TELANGANA,,Hyderabad,,Computer consultancy and computer facilities management activities,,ProPharma Group MIS Holdings Limited,,United Kingdom,,"19,17,62,407.4100",,2544195.9257,,Received in the company,
86,,Rudraksh Academy Private Limited,,GUJARAT,,Vadodara,,"Higher education in medical/bio-technology and related courses leading to a university degree or
equivalent",,KIRAN C PATEL,,U.S.A,,"18,66,85,040.0000",,2476832.2664,,Received in the company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
87,,Duroflex Private Limited,,KERALA,,Alappuzha,,Manufacture of mattresses and pillows,,"Norwest Capital,LLC",,U.S.A,,"18,62,05,185.1600",,2470465.8219,,Received in the company,
88,,Astral Steritech Private Limited,,GUJARAT,,Vadodara,,Manufacture of allopathic pharmaceutical preparations,,Centrient Pharmaceuticals International B. V.,,Netherland,,"17,04,35,000.0000",,2275035.9406,,Received in the company,
89,,Astral Steritech Private Limited,,GUJARAT,,Vadodara,,Manufacture of allopathic pharmaceutical preparations,,Centrient Pharmaceuticals International B. V.,,Netherland,,"17,04,35,000.0000",,2275035.9406,,Received in the company,
90,,ANI Technologies Private Limited,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Plum Wood Investment Ltd,,Mauritius,,"16,66,92,000.0000",,2225072.8489,,Received in the company,
91,,JINDAL STAINLESS HISAR LIMITED,,HARYANA,,Hisar,,Manufacture of hot-rolled and cold-rolled products of steel,,JSL OVERSEAS LIMITED,,Mauritius,,"16,62,39,972.0000",,2219038.9947,,Received in the company,
92,,Mohalla Tech Private Limited,,KARNATAKA,,Bengaluru,,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",,MacRitchie Investments Pte. Ltd.,,Singapore,,"16,26,32,519.9500",,2183089.4062,,Received in the Company,
93,,Mohalla Tech Private Limited,,KARNATAKA,,Bengaluru,,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated
content",,MacRitchie Investments Pte. Ltd.,,Singapore,,"16,26,32,519.9500",,2170885.2524,,Received in the company,
94,,Mohalla Tech Private Limited,,KARNATAKA,,Bengaluru,,"Operation of other websites that act as portals to the Internet, such as media sites
providing periodically updated content",,MacRitchie Investments Pte. Ltd.,,Singapore,,"16,26,32,519.9500",,2170885.2524,,Received in the company,
95,,GREEN URJA PRIVATE LIMITED,,DELHI,,South Delhi,,Electric power generation using solar energy,,JLT Energy 9 SAS,,France,,"16,05,51,284.4000",,2155152.0461,,Received in the Company,
96,,VER SE INNOVATION PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,GLADE BROOK PRIVATE INVESTORS XXVII LP,,U.S.A,,"16,06,91,745.4200",,2144979.0019,,Received in the company,
97,,GEEBEE EDUCATION PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,EDUCATIONAL SUPPORT SERVICES,,Leap Technologies Private Limited,,Singapore,,"15,60,00,000.0000",,2082351.6692,,Received in the company,
98,,GREEN URJA PRIVATE LIMITED,,DELHI,,South Delhi,,Electric power generation using solar energy,,JLT Energy 9 SAS,,France,,"15,42,55,155.6000",,2070636.2796,,"Received in
the Company",
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
99,,TARGETONE INNOVATIONS PRIVATE LIMITED,,DELHI,,West Delhi,,Maintenance and repair of motor vehicles,,INTERNET FUND VII PTE.LTD,,Singapore,,"15,42,02,385.0000",,2058356.3705,,Received in the company,
100,,Soothe Healthcare Private Limited,,DELHI,,South Delhi,,Manufacture of wadding of textile materials and articles of wadding such as sanitary napkins and tampons,,Camil Investments Limited,,Cayman Islands,,"15,00,00,000.0000",,2002261.2203,,Received in the company,
101,,GEEBEE EDUCATION PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,EDUCATIONAL SUPPORT SERVICES,,Leap Technologies Private Limited,,Singapore,,"14,40,00,000.0000",,1922170.7715,,Received in the company,
102,,"INDO GLOBAL RANJANGAON INFRASTRUCTURE AND UTILITY SERVICES PRIVATE
LIMITED",,Maharashtra,,Pune,,Construction of buildings carried out on own-account basis or on a fee or contract basis,,ESR Pune R1 Pte. Ltd.,,Singapore,,"13,99,99,750.0000",,1879279.5635,,Brownfield,
103,,INDO GLOBAL RANJANGAON INFRASTRUCTURE AND UTILITY SERVICES PRIVATE LIMITED,,Maharashtra,,Pune,,Construction of buildings carried out on own-account basis or on a fee or contract basis,,ESR Pune R1 Pte. Ltd.,,Singapore,,"13,99,99,200.0000",,1879272.1806,,Brownfield,
104,,TELSTRA TELECOMMUNICATIONS PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Other telecommunications activities,,TELSTRA HOLDINGS PTY. LTD.,,Australia,,"13,93,15,666.9400",,1870096.8091,,Received in the Company,
105,,SRI ENERGY VALVES PVT LTD,,TAMIL NADU,,Pudukkottai,,"Manufacture of other pumps,
compressors, taps and valves etc.",,Alagarsamy Sundararajan,,U.S.A,,"13,69,15,077.0000",,1816512.3487,,"Received in
the company",
106,,D2C CONSULTING SERVICES PRIVATE LIMITED,,DELHI,,West Delhi,,Management consultancy activities,,APIS GROWTH II (ROSE) PTE. LTD.,,Singapore,,"13,58,81,893.2000",,1813806.9687,,Received in the company,
107,,Fourth Partner Energy Private Limited,,TELANGANA,,K.V.Rangareddy,,Electric power generation using solar energy,,The Rise Fund SF Pte Ltd,,Singapore,,"12,49,33,800.0000",,1677042.5456,,Received in the Company,
108,,Braincapital Labs Private Limited,,TELANGANA,,Hyderabad,,"Writing, modifying, testing of computer program to meet
the needs of a particular client excluding web-page designing",,"NOTION LABS, IRELAND LIMITED",,Ireland,,"12,07,60,049.0700",,1621016.4111,,Received in the Company,
