"Table No.19 (b)
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Crore),Amount (In US$ Million),Inv Type,
,,,,particular client excluding web-page designing,,,,,,
10,ACQ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Chennai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",ACQ TECHNOLOGIES INC,U.S.A,0.01,0.00,Received in the Company,
11,ACQ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Chennai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",ACQ TECHNOLOGIES INC,U.S.A,0.01,0.00,Received in the Company,
12,ACTIVE OPERATIONS MANAGEMENT INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",Red Owl Technology Limited,Ireland,0.03,0.00,Received in the Company,
13,ADA ANNEX ADVISORY SERVICES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing","55 Institutional Partners, LLC",U.S.A,0.65,0.09,Received in the Company,
14,ADA ANNEX ADVISORY SERVICES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing","55 Institutional Partners, LLC",U.S.A,0.39,0.05,Received in the Company,
15,ADA ANNEX ADVISORY SERVICES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing","55 Institutional Partners, LLC",U.S.A,0.79,0.11,Received in the Company,
16,ADA ANNEX,MAHARASHTRA,Mumbai,"Writing, modifying, testing",55 Institutional,U.S.A,0.72,0.10,Received in,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Crore),Amount (In US$ Million),Inv Type,
,ADVISORY SERVICES PRIVATE LIMITED,,,"of computer program to meet the needs of a particular client excluding
web-page designing","Partners, LLC",,,,the Company,
17,ADA ANNEX ADVISORY SERVICES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing","55 Institutional Partners, LLC",U.S.A,1.00,0.14,Received in the Company,
18,ADF FOODS LIMITED,GUJARAT,Kheda,Manufacture of prepared meals and dishes,INFINITY DIRECT HOLDINGS,Mauritius,15.00,2.06,Received in the Company,
19,ADF FOODS LIMITED,GUJARAT,Kheda,Manufacture of prepared meals and dishes,INFINITY DIRECT HOLDINGS,Mauritius,15.14,2.08,Received in the Company,
20,"AEQUS FORCE CONSUMER PRODUCTS PRIVATE
LIMITED",KARNATAKA,Belagavi,Manufacture of other games and toys n.e.c.,AIGF Investments II Private Limited,Mauritius,3.65,0.50,Received in the Company,
21,AEQUS FORCE CONSUMER PRODUCTS PRIVATE LIMITED,KARNATAKA,Belagavi,Manufacture of other games and toys n.e.c.,AIGF Investment II Private Limited,Mauritius,9.05,1.24,Received in the Company,
22,"AEQUS FORCE CONSUMER
PRODUCTS PRIVATE LIMITED",KARNATAKA,Belagavi,Manufacture of other games and toys n.e.c.,AIGF Investments II Private Limited,Mauritius,7.30,1.00,Received in the Company,
23,AINOMIQ INDIA PRIVATE LIMITED,DELHI,South Delhi,Other information technology and computer service activities n.e.c,AUTONOMIQ INTERNATIONAL HOLDINGS LLC,U.S.A,0.00,0.00,Received in the Company,
24,"Airavana Systems
Private Limited",MAHARASHTRA,Pune,"Other information
technology and computer",Airavana INC,U.S.A,0.01,0.00,"Received in
the",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Crore),Amount (In US$ Million),Inv Type,
,,,,service activities n.e.c,,,,,Company,
25,Airavana Systems Private Limited,MAHARASHTRA,Pune,Other information technology and computer service activities n.e.c,Airavana INC,U.S.A,0.01,0.00,Received in the Company,
26,"AKSHAYAKALPA
FARMS AND FOODS PRIVATE LIMITED",KARNATAKA,Tumakuru,Manufacture of other dairy products n.e.c.,"VENTURE DAIRY ENTERPRISES, LLC",U.S.A,0.15,0.02,"Received in
the Company",
27,"AKSHAYAKALPA FARMS AND FOODS
PRIVATE LIMITED",KARNATAKA,Tumakuru,Manufacture of other dairy products n.e.c.,"VENTURE DAIRY ENTERPRISES, LLC",U.S.A,1.02,0.14,"Received in the
Company",
28,ALBATROSS TRAVELS PRIVATE LIMITED,DELHI,South Delhi,Travel agency activities,AJAY KUMAR BANSAL,U.S.A,0.22,0.03,Received in the Company,
29,ALLURE GIFT WRAPS PRIVATE LIMITED,GUJARAT,Valsad,Manufacture of other paper products n.e.c.,BOMPA HOLDINGS LLC,U.S.A,6.51,0.89,Received in the Company,
30,Alnourish Healthy Foods Private Limited,HARYANA,Gurgaon,"Wholesale of confectionery, bakery products and beverages
other than intoxicants",DSG CONSUMER PARTNERS III,Mauritius,0.06,0.01,Received in the Company,
31,ALZ SOLUTION PRIVATE LIMITED,DELHI,NEW DELHI,Other non-specialised wholesale trade n.e.c.,STARWIN DIGITAL PTE. LTD.,Singapore,0.01,0.00,"Received in the
Company",
32,Ameya Logistics Private Limited,MAHARASHTRA,Raigarh(MH),Cargo handling incidental to water transport,PSA INDIA INTERMODAL PTE LTD,Singapore,29.42,4.04,Received in the Company,
33,Ameya Logistics Private Limited,MAHARASHTRA,Raigarh(MH),Cargo handling incidental to water transport,PSA INDIA INTERMODAL PTE. LTD,Singapore,78.51,10.79,Received in the Company,
34,Ameya Logistics Private Limited,MAHARASHTRA,Raigarh(MH),Cargo handling incidental to water transport,PSA INDIA INTERMODAL PTE LTD,Singapore,24.87,3.42,"Received in
the Company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Crore),Amount (In US$ Million),Inv Type,
35,Amor Accessories India Private Limited,MAHARASHTRA,Mumbai,"Manufacture of imitation jewellery and related
articles",s.Oliver Jewel GmbH,Germany,0.00,0.00,"Received in the
Company",
36,AMPLUS SUN SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,Electric power generation using solar energy,Amplus Energy Solutions Pte. Ltd,Singapore,3.00,0.41,Received in the Company,
37,AMPLUS SUN SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,Electric power generation using solar energy,Amplus Energy Solutions Pte. Ltd.,Singapore,5.00,0.69,Received in the Company,
38,AMPLUS SUN SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,Electric power generation using solar energy,Amplus Energy Solutions Pte. Ltd.,Singapore,3.01,0.41,Received in the Company,
39,AMPLUS SUN SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,Electric power generation using solar energy,"Amplus Energy Solutions Pte Limited, Singapore",Singapore,12.99,1.78,Received in the Company,
40,AMTRUST MOBILE SOLUTIONS INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Security systems service activities,RSCO LLC,U.S.A,36.66,5.04,Received in the Company,
41,ANISH HOSPITALITY MANUFACTURERS PRIVATE LIMITED,GUJARAT,Bhavnagar,Manufacture of other articles n.e.c.,Apollo Investment Holding LLC,U.S.A,0.06,0.01,Received in the Company,
42,"ANNULUS
TECHNOLOGY PRIVATE LIMITED",JHARKHAND,Ranchi,"Other information
technology and computer service activities n.e.c",Ekeekaran Inc.,U.S.A,0.00,0.00,"Received in
the Company",
43,apalya technologies private limited,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,YUPP VIDEO SERVICES LLC,U.S.A,2.96,0.41,Received in the Company,
44,apalya technologies private limited,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,YUPP VIDEO SERVICES LLC,U.S.A,0.53,0.07,Received in the Company,
45,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,TPG Growth V SF Markets Pte. Ltd.,Singapore,0.47,0.06,Received in the,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Crore),Amount (In US$ Million),Inv Type,
,,,,,,,,,Company,
46,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,TPG Growth V SF Markets Pte. Ltd.,Singapore,33.66,4.62,Received in the Company,
47,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,TPG Growth V SF Markets Pte. Ltd.,Singapore,2.60,0.36,"Received in
the Company",
48,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,TPG Growth V SF Markets Pte. Ltd.,Singapore,0.66,0.09,"Received in the
Company",
49,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,TPG Growth V SF Markets Pte. Ltd.,Singapore,3.11,0.43,Received in the Company,
50,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,TPG Growth V SF Markets Pte. Ltd.,Singapore,11.23,1.54,Received in the Company,
51,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,TPG Growth V SF Markets Pte. Ltd.,Singapore,78.32,10.76,Received in the Company,
52,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,TPG Growth V SF Markets Pte. Ltd.,Singapore,0.47,0.06,Received in the Company,
53,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,TPG Growth V SF Markets Pte. Ltd.,Singapore,0.63,0.09,Received in the Company,
54,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,TPG Growth V SF Markets Pte. Ltd.,Singapore,2.71,0.37,"Received in
the Company",
55,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,"Lightstone Fund S.A., for and on behalf of
Lightstone Global Fund",Luxembourg,5.00,0.68,"Received in the
Company",
56,API HOLDINGS,MAHARASHTRA,Mumbai,Other land transport,TPG Growth V SF,Singapore,26.66,3.66,Received in,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Crore),Amount (In US$ Million),Inv Type,
,PRIVATE LIMITED,,,services n.e.c,Markets Pte Ltd,,,,the Company,
57,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,F-Prime Capital Partners Healthcare Fund V LP,U.S.A,0.50,0.07,Received in the Company,
58,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,F-Prime Capital Partners Healthcare Fund V LP,U.S.A,0.50,0.07,Received in the Company,
59,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,"Lightstone Fund S.A.,
for and on behalf of Lightstone Global Fund",Luxembourg,0.70,0.10,"Received in
the Company",
60,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,Lightstone Fund S.A. for and on behalf of Lightstone Global Fund,Luxembourg,9.33,1.28,Received in the Company,
61,API HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other land transport services n.e.c,Lightstone Fund S.A. for and on behalf of Lightstone Global Fund,Luxembourg,9.00,1.23,Received in the Company,
62,APPALERT ONLINE SERVICES PRIVATE LIMITED,DELHI,NEW DELHI,"Other professional, scientific and technical activities n.e.c.",Appalert Inc,U.S.A,0.00,0.00,Received in the Company,
63,APRINNOVOFINTECH PRIVATE LIMITED,KARNATAKA,Bengaluru,"Wholesale of telephone, mobile phone and communications
equipment and parts",APPEAR TECH PTE. LTD.,Singapore,0.00,0.00,Received in the Company,
64,APRINNOVOFINTECH PRIVATE LIMITED,KARNATAKA,Bengaluru,"Wholesale of telephone, mobile phone and communications equipment and parts",APPEAR TECH PTE. LTD.,Singapore,0.00,0.00,Received in the Company,
65,"APTUS VALUE HOUSING FINANCE
INDIA LIMITED",TAMIL NADU,Chennai,Other credit granting,Malabar India Fund Limited,Mauritius,15.58,2.14,"Received in the
Company",
66,APTUS VALUE,TAMIL NADU,Chennai,Other credit granting,"JIH II, LLC",Mauritius,6.92,0.95,Received in,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Crore),Amount (In US$ Million),Inv Type,
,HOUSING FINANCE INDIA LIMITED,,,,,,,,the Company,
67,ARCONIKH INTERNATIONAL PRIVATE LIMITED,MAHARASHTRA,Pune,"Manufacture of filtering and purifying machinery or apparatus for liquids and
gases",ARCOTECH 360 GLOBAL LTD,Israel,0.01,0.00,Received in the Company,
68,AREAHOP LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Hopstack Inc,U.S.A,0.00,0.00,Received in the Company,
69,Arliga India Office Parks Private Limited,KARNATAKA,Bengaluru,Real estate activities on a fee or contract basis,BSREP III NEW YORK FDI I (DIFC) LIMITED,UAE,0.00,0.00,Received in the Company,
70,Arliga India Office Parks Private Limited,KARNATAKA,Bengaluru,Real estate activities on a fee or contract basis,"BSREP III New York FDI
I (DIFC) Limited",UAE,0.00,0.00,Received in the Company,
71,"ASIAWISE CROSS- BORDER CONSULTING INDIA
PRIVATE LIMITED",HARYANA,Gurgaon,Legal activities,Asiawise Cross-Border Consulting Singapore Pte. Ltd.,Singapore,0.00,0.00,Received in the Company,
72,"ASIAWISE CROSS- BORDER CONSULTING INDIA
PRIVATE LIMITED",HARYANA,Gurgaon,Legal activities,Asiawise Cross-Border Consulting Singapore Pte. Ltd.,Singapore,0.00,0.00,Received in the Company,
73,ATTRA INFOTECH PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Attra PTY LTD,Australia,0.14,0.02,Received in the Company,
74,AUSTRALIAN FOODS INDIA PRIVATE LIMITED,TAMIL NADU,Tiruvallur,"Manufacture of biscuits, cakes, pastries, rusks etc.",EVERFOODS ASIA PTE. LTD.,Singapore,24.99,3.42,Received in the Company,
75,"AXXERA
TECHNOLOGIES (INDIA) PRIVATE",TELANGANA,Hyderabad,"Writing, modifying, testing
of computer program to meet the needs of a",AXXERA INC,U.S.A,0.00,0.00,"Received in
the Company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Crore),Amount (In US$ Million),Inv Type,
,LIMITED,,,particular client excluding web-page designing,,,,,,
76,AZENTIO SOFTWARE PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Maya Topco Limited,Guernsey,0.00,0.00,Received in the Company,
77,AZENTIO SOFTWARE PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Maya Topco Limited,Guernsey,0.00,0.00,Received in the Company,
78,B2X Service Solutions India Private Limited,MAHARASHTRA,Mumbai,"Repair and maintenance of
computer and peripheral equipment",B2X Care Solutions GmbH,Germany,0.71,0.10,"Received in
the Company",
79,B2X Service Solutions India Private Limited,MAHARASHTRA,Mumbai,Repair and maintenance of computer and peripheral equipment,B2X Care Solutions GmbH,Germany,5.58,0.77,Received in the Company,
80,B2X Service Solutions India Private Limited,MAHARASHTRA,Mumbai,Repair and maintenance of computer and peripheral equipment,B2X Care Solutions GmbH,Germany,0.99,0.14,Received in the Company,
81,Banco Products (India) Limited,GUJARAT,Vadodara,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles,road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes,
catalysers, clutches, ste",Samir K. Patel,UAE,8.44,1.15,Received in the Company,
82,BARRAISER PRIVATE LIMITED,KARNATAKA,Bengaluru,Activities of employment placement agencies,BAR RAISER CONSULTANTS PTE. LTD,Singapore,0.01,0.00,Received in the Company,
83,BBH Communications India Private Limited,MAHARASHTRA,Mumbai,Advertising,BBH Communications Limited,United Kingdom,0.30,0.04,"Received in the
Company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Crore),Amount (In US$ Million),Inv Type,
84,"BDP UGL GLOBAL LOGISTICS INDIA PVT
LTD",MAHARASHTRA,Mumbai,Activities of shipping cargo agents,BDP Global Service Pte Limited,Singapore,0.07,0.01,"Received in the
Company",
85,BEEJAPURI DAIRY PRIVATE LIMITED,HARYANA,Gurgaon,Manufacture of other dairy products n.e.c.,SAIF PARTNERS INDIA VI LIMITED,Mauritius,0.06,0.01,Received in the Company,
86,BELLCOWW TECHNOLOGIES PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,KAMADORE LLC,U.S.A,0.01,0.00,Received in the Company,
87,BETTER ED PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Better Ed Co.,U.S.A,0.01,0.00,Received in the Company,
88,BETTERPLACE SAFETY SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",Jungle ventures III Investment Holding Pte. Ltd.,Singapore,0.56,0.08,Received in the Company,
89,BETTERPLACE SAFETY SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",Jungle ventures III Investment Holding Pte. Ltd.,Singapore,0.05,0.01,Received in the Company,
90,BETTERPLACE SAFETY SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",Jungle ventures III Investment Holding Pte. Ltd.,Singapore,1.30,0.18,Received in the Company,
91,"BETTERPLACE SAFETY
SOLUTIONS PRIVATE LIMITED",KARNATAKA,Bengaluru,"Other professional,
scientific and technical activities n.e.c.","Jungle ventures III
Investment Holding Pte. Ltd.",Singapore,1.30,0.18,"Received in
the Company",
92,BETTERPLACE SAFETY SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",Jungle ventures III Investment Holding Pte. Ltd.,Singapore,0.65,0.09,Received in the Company,
93,BETTERPLACE SAFETY SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",Jungle ventures III Investment Holding Pte. Ltd.,Singapore,2.59,0.35,Received in the Company,
94,BETTERPLACE SAFETY SOLUTIONS PRIVATE,KARNATAKA,Bengaluru,"Other professional, scientific and technical",Jungle ventures III Investment Holding,Singapore,0.13,0.02,Received in the,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Crore),Amount (In US$ Million),Inv Type,
,LIMITED,,,activities n.e.c.,Pte. Ltd.,,,,Company,
95,BETTERPLACE SAFETY SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",Jungle ventures III Investment Holding Pte. Ltd.,Singapore,0.09,0.01,Received in the Company,
96,"BETTERPLACE SAFETY
SOLUTIONS PRIVATE LIMITED",KARNATAKA,Bengaluru,"Other professional,
scientific and technical activities n.e.c.","Jungle ventures III
Investment Holding Pte. Ltd.",Singapore,0.24,0.03,"Received in
the Company",
97,"BETTERPLACE SAFETY SOLUTIONS PRIVATE
LIMITED",KARNATAKA,Bengaluru,"Other professional, scientific and technical
activities n.e.c.","Jungle ventures III Investment Holding
Pte. Ltd.",Singapore,0.43,0.06,"Received in the
Company",
98,BETTERPLACE SAFETY SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",Jungle ventures III Investment Holding Pte. Ltd.,Singapore,0.04,0.01,Received in the Company,
99,BHAWANA SECURITIES AND FINANCIAL SERVICES LIMITED,DELHI,South West Delhi,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Pactum Collections GmBH,Germany,0.02,0.00,Received in the Company,
100,BHAWANA SECURITIES AND FINANCIAL SERVICES LIMITED,DELHI,South West Delhi,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Ferratum Czech s.r.o.,Czech Republic,0.02,0.00,Received in the Company,
101,"BIGFOOT RETAIL
SOLUTIONS PRIVATE LIMITED",DELHI,West Delhi,"Other information
technology and computer service activities n.e.c",Bertelsmann Nederland B.V.,Netherland,14.77,2.03,"Received in
the Company",
102,BIGFOOT RETAIL SOLUTIONS PRIVATE LIMITED,DELHI,West Delhi,Other information technology and computer service activities n.e.c,TRIBE CAPITAL III LLC SERIES 5,U.S.A,1.55,0.21,Received in the Company,
103,BIZMATICS INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,N Harris Computer Corporation,Canada,3.17,0.44,Received in the Company,
104,BIZMATICS INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer,N Harris Computer Corporation,Canada,3.17,0.44,Received in the,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Crore),Amount (In US$ Million),Inv Type,
,,,,service activities n.e.c,,,,,Company,
105,BLUEED TECHNOLOGY PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Blueed Technologies LLC,U.S.A,1.94,0.27,Received in the Company,
106,Bollore Logistics India Private Limited,WEST BENGAL,Kolkata,Freight air transport services,"HOLDING
INTERMODAL SERVICES",France,0.00,0.00,"Received in
the Company",
107,Bollore Logistics India Private Limited,WEST BENGAL,Kolkata,Freight air transport services,"HOLDING INTERMODAL
SERVICES",France,0.00,0.00,"Received in the
Company",
108,Bollore Logistics India Private Limited,WEST BENGAL,Kolkata,Freight air transport services,HOLDING INTERMODAL SERVICES,France,0.00,0.00,Received in the Company,
109,BOURBON SCIENCE PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,"Bourbon Science Inc.,",U.S.A,0.00,0.00,Received in the Company,
110,BoxLNG Private Limited,MAHARASHTRA,Mumbai,Distribution and sale of gaseous fuels through mains,TEMPINIS INVESTMENTS PTE.LTD,Singapore,0.00,0.00,Received in the Company,
111,BoxLNG Private Limited,MAHARASHTRA,Mumbai,Distribution and sale of gaseous fuels through mains,TEMPINIS INVESTMENTS PTE. LTD,Singapore,0.00,0.00,Received in the Company,
112,BUHL DATA SERVICE PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,BUHL DATA SERVICE GMBH,Germany,0.01,0.00,Received in the Company,
113,CALDWELL MANUFACTURING INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Manufacture of padlocks, locks, keys, hinges and the like, hardware for buildings, furniture,
vehicles etc.",COTSWOLD ARCHITECTURAL PRODUCTS LIMITED,United Kingdom,0.01,0.00,Received in the Company,
114,CALEARO ANTENNE INDIA PRIVATE,MAHARASHTRA,Mumbai,Sale of motor vehicle parts and accessories,CALEARO ANTENNE S.P.A.,Italy,0.01,0.00,Received in the,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Crore),Amount (In US$ Million),Inv Type,
,LIMITED,,,,,,,,Company,
115,CALLISTO SOLAR POWER PRIVATE LIMITED,Telangana,Hyderabad,Electric power generation using solar energy,Vibrant Energy Ltd.,Cayman Islands,0.00,0.00,Received in the Company,
116,"CALPINE SUBSICO
SOLAR ENERGY PRIVATE LIMITED",HARYANA,Gurgaon,Electric power generation using solar energy,Calpine Solar HoldCo Pte Limited,Singapore,0.01,0.00,"Received in
the Company",
117,CATTS APAC INDIA PRIVATE LIMITED,RAJASTHAN,Jaipur,Legal activities,Catts BV,Netherland,0.02,0.00,"Received in the
Company",
118,CATTS APAC INDIA PRIVATE LIMITED,RAJASTHAN,Jaipur,Legal activities,Catts BV,Netherland,0.02,0.00,Received in the Company,
119,CDDEP India Private Limited,DELHI,South Delhi,Research and experimental development on social sciences and humanities,"The Center for Disease Dynamics, Economics & Policy, Inc",U.S.A,0.01,0.00,Received in the Company,
120,Celon Laboratories Private Limited,TELANGANA,Hyderabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and
plasmas; salicylic acid, its",ZNZ PHARMA 2 LIMITED,United Kingdom,25.52,3.51,Received in the Company,
121,Celon Laboratories Private Limited,TELANGANA,Hyderabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins;
opium derivatives; sulpha",ZNZ PHARMA 2 LIMITED,United Kingdom,1.07,0.15,Received in the Company,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Crore),Amount (In US$ Million),Inv Type,
,,,,"drugs; serums and plasmas; salicylic acid, its",,,,,,
122,Celon Laboratories Private Limited,TELANGANA,Hyderabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and
plasmas; salicylic acid, its",ZNZ PHARMA 2 LIMITED,United Kingdom,14.37,1.97,Received in the Company,
123,Celon Laboratories Private Limited,TELANGANA,Hyderabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and
plasmas; salicylic acid, its",ZNZ PHARMA 2 LIMITED,United Kingdom,0.60,0.08,Received in the Company,
124,Centogene India Private Limited,DELHI,East Delhi,"Other human health activities n.e.c. (including independent ambulance
activities)",Centogene AG,Germany,0.24,0.03,Received in the Company,
125,Centogene India Private Limited,DELHI,East Delhi,"Other human health activities n.e.c. (including independent ambulance
activities)",Centogene Shared services GMBH,Germany,0.00,0.00,Received in the Company,
