Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING APRIL 2017 TO JUNE, 2017",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
19,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,68.89,1.07,
20,FIELD FRESH FOODS PVT. LTD.,Mauritius,DMPL INDIA LTD,NEW DELHI,"Manufacture of sauces, jams, jellies and marmalades",47.50,0.74,
21,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,196.00,3.04,
22,QUIPPO TELECOM INFRASTRUCTURE LTD,Mauritius,D.B.Zwirn Mauritius Trading No. 3,NEW DELHI,Other business support service activities n.e.c.,64.00,0.99,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
23,QUIPPO TELECOM INFRASTRUCTURE LTD,Mauritius,D.B.Zwirn Mauritius Trading No. 2 Limite,NEW DELHI,Other business support service activities n.e.c.,736.00,11.42,
24,DEVAS MULTIMEDIA PVT. LTD.,Mauritius,Devas employees mauritius pvt ltd,BANGALORE,Computer consultancy and computer facilities management activities,36.40,0.56,
25,QUIPPO TELECOM INFRASTRUCTURE LTD,Mauritius,Funderburk Mauritius Limited,NEW DELHI,Other business support service activities n.e.c.,"4,720.00",73.24,
26,ETHL GLOBAL CAPITAL LTD.,Mauritius,HAZIRA STEEL,MUMBAI,Other business support service activities n.e.c.,58.90,0.91,
27,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,191.11,2.97,
28,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,202.22,3.14,
29,HINDUJA ENERGY INDIA LTD,Mauritius,HINDUJA ENERGY LTD,MUMBAI,Electric power generation by coal based thermal power plants,"2,400.08",37.25,
30,HINDUJA ENERGY INDIA LTD,Mauritius,HINDUJA POWER LTD,MUMBAI,Electric power generation by coal based thermal power plants,600.02,9.31,
31,UNIQUEST INFRA VENTURES PVT,Mauritius,GHIR INVESTMENTS (MAURITIUS) LIMITED,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",37.87,0.59,
32,UNIQUEST INFRA VENTURES PVT,Mauritius,GHIR INVESTMENTS (MAURITIUS) LIMITED,NEW DELHI,"Construction and maintenance of
motorways, streets, roads, other vehicular and pedestrian ways, highways,",50.00,0.78,
33,DE BEERS INDIAPVT LTD,Mauritius,DE BEERS CENTENARY MAURITIUS LTD,MUMBAI,"Mining of gemstones (agate, diamond, emerald, garnet (gem), jasper, rubby/saphire etc.",96.56,1.50,
34,BIOGENOMICS LIMITED,Mauritius,MB HOLDING MAURITIUS LIMITED,CHENNAI,Research and experimental development on natural sciences and engineering,27.31,0.42,
35,POLYPEPTIDE LABORATORIES PVT LTD,Netherlands,POLYPEPTIDE LABORATORIES BV,MUMBAI,Manufacture of allopathic pharmaceutical preparations,101.13,1.57,
36,POLYPEPTIDE LABORATORIES PVT LTD,Netherlands,POLYPEPTIDE LABORATORIES BV,MUMBAI,Manufacture of allopathic pharmaceutical preparations,29.40,0.46,
37,ALSTOM MANUFACTURING INDIA PVT LTD,Netherlands,ALSTOM TRANSPORT HOLDINGS B.V.,NEW DELHI,"Manufacture of electric, diesel, steam and other rail locomotives",446.05,6.91,
38,NIKE INDIA (P) LTD.,Netherlands,Nike India holding BV,BANGALORE,Retail sale of sporting equipment in specialized stores,215.00,3.34,
39,ALSTOM MANUFACTURING INDIA PVT LTD,Netherlands,ALSTOM TRANSPORT HOLDINGS B. V.,MUMBAI,"Manufacture of electric, diesel, steam and other rail locomotives",300.00,4.66,
40,IKEA INDIA PRIVATE LIMITED,Netherlands,INGKA PRO HOLDING B.V.,NEW DELHI,Retail sale of household furniture,0.49,0.01,
41,IKEA INDIA PRIVATE LIMITED,Netherlands,INGKA HOLDING OVERSEAS B.V,NEW DELHI,Retail sale of household furniture,489.51,7.60,
42,IKEA INDIA PRIVATE LIMITED,Netherlands,INGKA PRO HOLDING B.V.,NEW DELHI,Retail sale of household furniture,0.50,0.01,
43,IKEA INDIA PRIVATE LIMITED,Netherlands,INGKA HOLDING OVERSEAS B.V.,NEW DELHI,Retail sale of household furniture,499.50,7.75,
44,BIOGENOMICS LIMITED,Oman,BAKUL BHASKERRAJ SHAMALDAS MEHTA,CHENNAI,Research and experimental development on natural sciences and engineering,46.38,0.72,
45,BIOGENOMICS LIMITED,Oman,RAJMAL PARAKH,CHENNAI,Research and experimental development on natural sciences and engineering,52.28,0.81,
46,BIOGENOMICS LIMITED,Oman,DR. SULAIMAN MOHAMMED HAMED AL HARTHY,CHENNAI,Research and experimental development on natural sciences and engineering,3.33,0.05,
47,BIOGENOMICS LIMITED,Oman,BAKUL BHASKERRAJ SHAMALDAS MEHTA,CHENNAI,Research and experimental development on natural sciences and engineering,3.33,0.05,
48,BIOGENOMICS LIMITED,Oman,RAJMAL PARAKH,CHENNAI,Research and experimental development on,3.33,0.05,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,natural sciences and engineering,,,
49,BIOGENOMICS LIMITED,Oman,"DR.SULAIMAN
MOHAMMED HAMED AL HARTHY",CHENNAI,Research and experimental development on natural sciences and engineering,30.52,0.47,
50,BIOGENOMICS LIMITED,Oman,BAKUL BHASKERRAJ SHAMALDAS MEHTA,CHENNAI,Research and experimental development on natural sciences and engineering,38.56,0.60,
51,BIOGENOMICS LIMITED,Oman,RAJMAL PARAKH,CHENNAI,Research and experimental development on natural sciences and engineering,34.54,0.54,
52,BIOGENOMICS LIMITED,Oman,DR.SULAIMAN MOHAMMED HAMED AL HARTHY,CHENNAI,Research and experimental development on natural sciences and engineering,40.47,0.63,
53,BIOGENOMICS LIMITED,Oman,RAJMAL PARAKH,CHENNAI,Research and experimental development on natural sciences and engineering,5.51,0.09,
54,BIOGENOMICS LIMITED,Oman,DR.SULAIMAN MOHAMMED HAMED AL HARTHY,CHENNAI,Research and experimental development on natural sciences and engineering,2.76,0.04,
55,BAJAJ FINSERV LTD,Saudi Arabia,VARIOUS,MUMBAI,Activities of holding companies,6.81,0.11,
56,NSL MINING RESOURCES INDIA PVT. LTD.,Singapore,I-S IRON ORE PTE LTD,HYDERABAD,Mining of iron ores,0.00,0.00,
57,STELIS BIOPHARMA PVT LTD,Singapore,GMS Pharma (Singapore) Pte Ltd,BANGALORE,Research and experimental development on natural sciences and engineering,568.83,8.82,
58,STELIS BIOPHARMA PVT LTD,Singapore,GMS Pharma (Singapore) Pte Ltd,BANGALORE,Research and experimental development on natural sciences and engineering,117.96,1.83,
59,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,APHV INDIA INVESTCO PVT LTD,NEW DELHI,Activities of holding companies,17.64,0.27,
60,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,AAPC SINGAPORE PTE LTD,NEW DELHI,Activities of holding companies,15.68,0.24,
61,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,APHV INDIA INVESTCO PVT LTD,NEW DELHI,Activities of holding companies,45.00,0.70,
62,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,AAPC SINGAPORE PTE LTD,NEW DELHI,Activities of holding companies,40.00,0.62,
63,ONLY RETAIL PVT LTD,Singapore,BEST SELLER UNITED SINGAPORE PTE LTD,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",338.47,5.25,
64,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Singapore,CORE INFRASTRUCTURE INDIA FUND PTE LTD.,NEW DELHI,Activities of holding companies,108.11,1.68,
65,BEST UNITED INDIA COMFORTS PVT LTD,Singapore,BESTSELLER UNITED SNGAPORE PTE LTD,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",336.60,5.22,
66,ORDAIN HEALTH CARE GLOBAL PVT LTD,Spain,Chemo Espana S.L,CHENNAI,"Manufacture of medicinal substances used in
the manufacture of pharmaceuticals: antibiotics, endocrine",109.49,1.70,
67,ORDAIN HEALTH CARE GLOBAL PVT LTD,Spain,Chemo Espana S.L,CHENNAI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",826.53,12.83,
68,NEFAB INDIA PVT LTD,Sweden,NEFAB,MUMBAI,Activities of collection agencies and credit bureaus,1.10,0.02,
69,NEFAB INDIA PVT LTD,Sweden,NEFAB,MUMBAI,Activities of collection agencies and credit bureaus,24.78,0.38,
70,LUPIN LTD.,UAE,various investors,MUMBAI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals:
antibiotics, endocrine",90.47,1.40,
71,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and
discount houses",3.66,0.06,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
72,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",5.84,0.09,
73,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and
discount houses",4.68,0.07,
74,ICICI BANK LTD.,U.S.A,RAKHEE GUPTA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.17,0.00,
75,ICICI BANK LTD.,U.S.A,RAKHEE GUPTA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.50,0.01,
76,ICICI BANK LTD.,U.S.A,RAKHEE GUPTA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and
discount houses",0.34,0.01,
77,BROOKS BROTHERS INDIA PVT LTD,U.S.A,"BBDI,LLC",MUMBAI,Real estate activities on a fee or contract basis,12.75,0.20,
78,BROOKS BROTHERS INDIA PVT LTD,U.S.A,"BBDI,LLC",MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",20.40,0.32,
79,SPRINT TELECOM INDIA PVT LTD,U.S.A,SPRINT INTERNATIONAL HOLDING INC,MUMBAI,Other business support service activities n.e.c.,18.50,0.29,
80,IAPMO PLUMBING CODES & STANDARDS INDIA P,U.S.A,INTERNATIONAL ASSOCIATION OF PLMBING AND,BANGALORE,Technical testing and analysis,2.00,0.03,
81,NIKE INDIA (P) LTD.,U.S.A,Nike Inc,BANGALORE,Retail sale of sporting equipment in specialized stores,10.00,0.16,
82,NIKE INDIA (P) LTD.,U.S.A,Nike Holdings Inc,BANGALORE,Retail sale of sporting equipment in specialized stores,0.00,0.00,
83,READERS DIGEST BOOK & HOME ENTERTAINMENT,U.S.A,TRUSTED MEDIA BRANDS INC,NEW DELHI,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",9.94,0.15,
84,QUINTILLION BUSINESS MEDIA PRIVATE LIMIT,U.S.A,BLOOMBERG L.P.,NEW DELHI,"Manufacture of radio and television studio and broadcasting equipment, including television cameras",200.00,3.10,
Grand Total,,,,,,"17,167.44",266.39,
