Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING OCTOBER TO DECEMBER, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
64,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,BHUWAN SAURAV,BANGALORE,Other credit granting,0.86,0.01,
65,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,SRINIVASAN VENKITA PADMANABHAN,BANGALORE,Other credit granting,2.67,0.04,
66,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,RAMANARAYANAN MAHADEVAN,BANGALORE,Other credit granting,4.90,0.07,
67,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,VIVEK VERMA,BANGALORE,Other credit granting,6.68,0.10,
68,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,SATHYAMURTHY MAYILSWAMY,BANGALORE,Other credit granting,4.98,0.08,
69,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,AAPC SINGAPORE PTE LTD,NEW DELHI,Activities of holding companies,"50,405.86",774.78,
70,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,APHV INDIA INVESTCO. PVT LTD,NEW DELHI,Activities of holding companies,"56,702.10",871.56,
71,BARRACUDA CAMOUFLAGE PVT LTD,Sweden,saab barracuda ab sweden,NEW DELHI,Other business support service activities n.e.c.,13.09,0.20,
72,H&M HENNES & MAURITZ RETAIL PRIVATE LIMI,Sweden,H&M HENNES & MAURITZ INTERNATIONAL AB,NEW DELHI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",10.50,0.16,
73,H&M HENNES & MAURITZ RETAIL PRIVATE LIMI,Sweden,H&M HENNES & MAURITZ GBC AB,NEW DELHI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories","1,039.52",15.61,
74,H&M HENNES & MAURITZ RETAIL PRIVATE LIMI,Sweden,H&M HENNES & MAURITZ GBC AB,NEW DELHI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories","1,139.26",17.11,
75,H&M HENNES & MAURITZ RETAIL PRIVATE LIMI,Sweden,H&M HENNES & MAURITZ INTERNATIONAL AB,NEW DELHI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",11.51,0.17,
76,SWATCH GROUP (INDIA) RETAIL PRIVATE LIMI,Switzerland,TECHNOCORP HOLDINGS S.A,NEW DELHI,Retail sale of watches and clocks,0.10,0.00,
77,QUIKJET CARGO AIRLINES,Switzerland,ASL AIRLINES,BANGALORE,Cargo handling incidental to air transport,52.70,0.81,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,PVT. LTD.,,SWITZERLAND AG,,,,,
78,CHAITANYA RURAL INTERMEDIATION DEVELOPME,United Kingdom,RISHI KALRA,BANGALORE,Other credit granting,0.44,0.01,
79,D1 WILLIAMSON MAGOR BIO FUEL LIMITED,United Kingdom,D1 OILS TRADING LIMITED,KOLKATA,Manufacture of vegetable oils and fats excluding corn oil,20.00,0.30,
80,CHAITANYA RURAL INTERMEDIATION DEVELOPME,United Kingdom,SUBRAMANYA KARTHIKEYAN,BANGALORE,Other credit granting,0.49,0.01,
81,HAYMARKET MEDIA (INDIA) PVT LTD,United Kingdom,"HAYMARKET WORLDWIDE
Ltd",MUMBAI,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",8.00,0.12,
82,HAYMARKET MEDIA (INDIA) PVT LTD,United Kingdom,HAYMARKET WORLDWIDE,MUMBAI,"Printing of magazines and other
periodicals, books and brochures, maps, atlases, posters etc.",10.00,0.15,
83,CHAITANYA RURAL INTERMEDIATION DEVELOPME,United Kingdom,TEJINDER SINGH SARAON,BANGALORE,Other credit granting,0.89,0.01,
84,CHAITANYA RURAL INTERMEDIATION DEVELOPME,United Kingdom,AMIT SURI,BANGALORE,Other credit granting,2.67,0.04,
85,SUN PHARMACEUTICAL INDUSTRIES LIMITED,United Kingdom,Abhijit Saha,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.00,0.00,
86,ICICI BANK LTD.,U.S.A,AARTI SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.17,0.00,
87,IAPMO PLUMBING CODES & STANDARDS INDIA P,U.S.A,INTERNATIONAL ASSOCIATION OF PLUMBING AN,BANGALORE,Other publishing activities (including on- line) n.e.c.,1.50,0.02,
88,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,VARIOUS INVESTORS AS PER LIST,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,6.10,0.09,
89,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,Charles Caprariello,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.01,0.00,
90,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,Rick Remlinger,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.01,0.00,
91,THOMAS INTERNATIONAL PUBLISHING CO.INDIA,U.S.A,THOMAS INTER NATIONAL PUBLISHING COMPANY,NEW DELHI,Advertising,10.16,0.16,
92,DONALDSON INDIA FILTER SYSTEMS PVT LTD,U.S.A,Donaldson Company Inc.,NEW DELHI,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",68.97,1.04,
93,DONALDSON INDIA FILTER SYSTEMS PVT LTD,U.S.A,Donaldson Company Inc.,NEW DELHI,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",33.00,0.50,
94,CHAITANYA RURAL INTERMEDIATION DEVELOPME,U.S.A,VANITHA RAO,BANGALORE,Other credit granting,1.32,0.02,
95,CHAITANYA RURAL INTERMEDIATION DEVELOPME,U.S.A,ANAND S MURTHY,BANGALORE,Other credit granting,1.31,0.02,
96,ICICI BANK LTD.,U.S.A,AARTI SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.25,0.00,
97,CHAITANYA RURAL INTERMEDIATION DEVELOPME,U.S.A,ANAND SUBBARAMAN,BANGALORE,Other credit granting,0.50,0.01,
98,CHAITANYA RURAL INTERMEDIATION DEVELOPME,U.S.A,RAVI SHANKAR,BANGALORE,Other credit granting,0.44,0.01,
99,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,Nicholas Douthwaite,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.00,0.00,
100,ICICI BANK LTD.,U.S.A,AARTI SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.17,0.00,
101,ICICI BANK LTD.,U.S.A,VASUDEVAN MUNDOKULAM,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank",0.78,0.01,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,and discount houses,,,
102,ICICI BANK LTD.,U.S.A,VASUDEVAN MUNDOKULAM,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.42,0.01,
103,ICICI BANK LTD.,U.S.A,VASUDEVAN MUNDOKULAM,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.30,0.00,
104,ICICI BANK LTD.,U.S.A,ANILKUMAR MUTHYA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.29,0.00,
105,ICICI BANK LTD.,U.S.A,VASUDEVAN MUNDOKULAM,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.76,0.01,
106,ICICI BANK LTD.,U.S.A,VASUDEVAN MUNDOKULAM,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.42,0.01,
107,IAPMO PLUMBING CODES & STANDARDS INDIA P,U.S.A,INTERNATIONAL ASSOCIATION OF PLUMBING AN,BANGALORE,Other publishing activities (including on- line) n.e.c.,1.50,0.02,
108,PAR FORMULATIONS PVT LTD,U.S.A,PAR PHARMACEUTICAL INC,CHENNAI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",548.55,8.43,
109,MAHINDRA TELEPHONICS INTEGRATED SYSTEMS,U.S.A,Telephonics Corporation,MUMBAI,"Manufacture of radar equipment, GPS devices, search, detection, navigation, aeronautical and nautical",15.60,0.24,
110,MAHINDRA TELEPHONICS INTEGRATED SYSTEMS,U.S.A,Telephonics Corporation,MUMBAI,"Manufacture of radar equipment, GPS devices, search, detection, navigation, aeronautical and nautical",7.80,0.12,
111,ICICI BANK LTD.,U.S.A,KIRAN TALWAR,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.06,0.02,
112,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,VARIOUS INVESTORS AS PER LIST,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",8.39,0.13,
113,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,Various NR Employees,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.01,0.00,
114,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,Various NRI Employees,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.16,0.00,
115,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,Various NRI Employees,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.03,0.00,
116,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,S VISHWANATHAN,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.00,0.00,
117,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,Sanjeev Mahana,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.00,0.00,
118,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Myanmar,Mar Lar Khin,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.00,0.00,
119,SAN MARZANO INDIA PVT LTD,British Isles,Briana Ltd.,NEW DELHI,"Cafeterias, fast-food restaurants and other food preparation in market stalls",3.73,0.06,
Grand Total,,,,,,"125,377.36","1,923.66",
