Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JULY 2016 TO SEPTEMBER, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
42,STAR ENTERTAINMENT MEDIA PVT. LTD.,Mauritius,STAR ISP LTD,MUMBAI,Production of television programmes or television commercials,128.57,1.91,
43,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,Axa India Holdings,MUMBAI,Life insurance,97.08,1.44,
44,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,Axa India Holdings,MUMBAI,Life insurance,206.25,3.07,
45,SYNERGIA LIFE SCIENCES PVT LTD,Mauritius,"India Life Sciences Fund II LLC, Mauriti",MUMBAI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",400.00,5.95,
46,GETIT INFOSERVICES PVT LTD,Mauritius,ASTRO ENTERTAINMENT NETWORKS LIMITED,NEW DELHI,Operation of web sites that use a search engine to generate and maintain extensive databases of internet,650.00,9.67,
47,CORONA REMEDIES PVT. LTD.,Mauritius,CYDISTA LTD,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,"1,000.00",14.98,
48,GETIT INFOSERVICES PVT LTD,Mauritius,ASTRO ENTERTAINMENT NETWORKS LIMITED,NEW DELHI,Operation of web sites that use a search engine to generate and maintain extensive,"1,848.33",27.50,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,databases of internet,,,
49,INDIA MORTGAGE GURANATEE CORPORATION PRI,Mauritius,GENWORTH FINANCIAL MAURITIUS HOLDINGS LI,NEW DELHI,Other credit granting,54.00,0.80,
50,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AxaIndia Holdings,MUMBAI,Life insurance,294.00,4.37,
51,UNIQUEST INFRA VENTURES PVT,Mauritius,GHIR INVESTMENTS (MAURITIUS) LIMITED,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",464.58,6.91,
52,STAR CJ NETWORK INDIA P LTD,Mauritius,STAR HS LTD,MUMBAI,"Wholesale of textiles, fabrics, yarn,
household linen, articles of clothing, floor coverings and tapestry,",178.67,2.68,
53,TATA SKY LTD,Mauritius,BAYTREEINVESTMENTS (MAURITIUS) PTE LTD,MUMBAI,Other satellite telecommunications activities,202.87,3.04,
54,JM FINANCIAL PROPERTY FUND II,Mauritius,JM FINANCIAL INDIA PROPERTY FUND LTD,MUMBAI,Other business support service activities n.e.c.,588.48,8.82,
55,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,206.25,3.09,
56,STAR INDIA PVT LTD,Mauritius,BUZZER INVESTMENTS LTD,MUMBAI,Radio broadcasting,"2,261.58",33.89,
57,STAR INDIA PVT LTD,Mauritius,QUAZAR INVESTMENTS (MAURITIUS) LTD,MUMBAI,Radio broadcasting,1.77,0.03,
58,SOUTH ASIA FM LTD,Mauritius,SOUTH ASIA MULTIMEDIA TECHNOLOGIES LIMIT,CHENNAI,Radio broadcasting,526.00,7.88,
59,SOUTH ASIA FM LTD,Mauritius,SOUTH ASIA MULTIMEDIA TECHNOLOGIES LIMIT,CHENNAI,Radio broadcasting,28.00,0.42,
60,GRAINGER INDUSTRIAL SUPPLY INDIA PVT LTD,Mauritius,INDIA PACIFIC BRANDS MAURITIUS,MUMBAI,"Wholesale of other machinery, equipment and supplies n.e.c. including computer- controlled machine tools",137.70,2.06,
61,UNIQUEST INFRA VENTURES PVT,Mauritius,GHIR INVESTMENTS (MAURITIUS) LTD,MUMBAI,Management consultancy activities,711.59,10.66,
62,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,97.08,1.45,
63,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,294.00,4.41,
64,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,45.00,0.67,
65,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,45.00,0.67,
66,GOLDMAN SACHS INDIA CAPITAL MARKET PVT L,Mauritius,GOLDMAN SACHS (MAURITIUS) NBFC LLC,MUMBAI,Other business support service activities n.e.c.,46.15,0.69,
67,GOLDMAN SACHS INDIA CAPITAL MARKET PVT L,Mauritius,GOLDMAN SACHS (MAURITIUS) NBFC LLC,MUMBAI,Other business support service activities n.e.c.,300.82,4.51,
68,GOLDMAN SACHS INDIA CAPITAL MARKET PVT L,Mauritius,GOLDMAN SACHS (MAURITIUS) NBFC LLC,MUMBAI,Other business support service activities n.e.c.,"1,721.12",25.79,
69,GOLDMAN SACHS INDIA CAPITAL MARKET PVT L,Mauritius,GOLDMAN SACHS (MAURITIUS) NBFC LLC,MUMBAI,Other business support service activities n.e.c.,250.13,3.75,
70,GOLDMAN SACHS INDIA CAPITAL MARKET PVT L,Mauritius,GOLDMAN SACHS (MAURITIUS) NBFC LLC,MUMBAI,Other business support service activities n.e.c.,"1,266.00",18.97,
71,TATA SKY LTD,Mauritius,BAYTREE INVESTMENT MAURITIUS I LTD,MUMBAI,Other satellite telecommunications activities,202.87,3.04,
72,CIPLA HELATH LTD,Mauritius,FIL CAPITAL INVESTMENTS (MAURITIUS) II L,MUMBAI,Manufacture of allopathic pharmaceutical preparations,2.41,0.04,
73,FIELD FRESH FOODS PVT. LTD.,Mauritius,DMPL INDIA LIMITED,NEW DELHI,"Manufacture of sauces, jams, jellies and marmalades",55.00,0.82,
74,FIRST AMERICAN SECURITIES PVT LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,102.67,1.53,
75,FIRST AMERICAN,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,122.56,1.83,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,SECURITIES PVT LTD,,,,,,,
76,CIPLA HELATH LTD,Mauritius,FIL CAPITAL INVESTMENTS (MAURITIUS) II L,MUMBAI,Manufacture of allopathic pharmaceutical preparations,"1,287.26",19.23,
77,STAR INDIA PVT LTD,Mauritius,BUZZER INVESTMENTS LTD,MUMBAI,Radio broadcasting,"12,092.66",180.65,
78,STAR INDIA PVT LTD,Mauritius,QUAZAR INVESTMENTS (MAURITIUS) LTD,MUMBAI,Radio broadcasting,8.76,0.13,
79,INDUSIND BANK LTD.,Mauritius,INDUSIND INTERNATIONALHOLDINGS LTD,MUMBAI,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses","5,690.29",85.01,
80,INDUSIND BANK LTD.,Mauritius,INDUSIND LTD,MUMBAI,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses","1,837.10",27.44,
81,INNOVCARE  LIFESCIENCES PVT LTD,Mauritius,SEQUOIA CAPITAL INDIA INVESTMENTS IV,MUMBAI,Wholesale of pharmaceutical and medical goods,0.00,0.00,
82,INNOVCARE  LIFESCIENCES PVT LTD,Mauritius,SEQUOIA CAPITAL INDIA INVESTMENTS IV,MUMBAI,Wholesale of pharmaceutical and medical goods,249.99,3.73,
83,FIELD FRESH FOODS PVT. LTD.,Mauritius,DMPL INDIA LIMITED,NEW DELHI,"Manufacture of sauces, jams, jellies and marmalades",90.00,1.34,
84,UNIQUEST INFRA VENTURES PVT,Mauritius,GHIR INVESTMENTS (MAURITIUS) LIMITED,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",45.00,0.67,
85,FOX STAR STUDIOS INDIA PVT LTD,Mauritius,FOX STAR STUDIOS HOLDINGS LIMITED,MUMBAI,Production of motion picture,"1,066.75",15.94,
86,FOX STAR STUDIOS INDIA PVT LTD,Mauritius,FOX STAR STUDIOS HOLDINGS LIMITED,MUMBAI,Production of motion picture,623.65,9.32,
87,TATA SKY LTD,Mauritius,BAYTREE INVESTMENTS MAURITIUS I LTD,MUMBAI,Other satellite telecommunications activities,202.87,3.04,
88,STAR INDIA PVT LTD,Mauritius,WORLDWIDE WICKETS,MUMBAI,Radio broadcasting,"1,509.47",22.55,
89,STAR INDIA PVT LTD,Mauritius,STAR ISP LTD,MUMBAI,Radio broadcasting,"1,670.04",24.95,
90,ZOOROPA FOODS PVT LTD,Mauritius,SAIF PARTNERS INDIA IV LTD,NEW DELHI,Activities of holding companies,25.68,0.38,
91,IKEA INDIA PRIVATE LIMITED,Netherlands,Ingka Pro Holding B.V.,NEW DELHI,Retail sale of household furniture,8.90,0.13,
92,IKEA INDIA PRIVATE LIMITED,Netherlands,Ingka Holding Overseas B.V.,NEW DELHI,Retail sale of household furniture,"8,891.10",132.82,
93,ALSTOM MANUFACTURING INDIA PVT LTD,Netherlands,Alstom Transport Holdings BV,MUMBAI,"Manufacture of electric, diesel, steam and other rail locomotives",750.00,11.20,
94,RELIANCE VISION EXPRESS PVT LTD,Netherlands,GRANDVISION INDIA B V,MUMBAI,"Retail sale of photographic, optical and precision equipment",65.00,0.97,
95,RELIANCE VISION EXPRESS PVT LTD,Netherlands,PEARLE INDIA B V,MUMBAI,"Retail sale of photographic, optical and precision equipment",75.00,1.12,
96,TS INVESTMENTS LTD,Netherlands,Star India Holdings B.V.,MUMBAI,Activities of holding companies,472.85,7.09,
97,GLOBAL ONE (INDIA) PVT LTD,Netherlands,EGN BV,NEW DELHI,Other telecommunications activities,41.69,0.62,
98,GLOBAL ONE (INDIA) PVT LTD,Netherlands,GLOBAL ONE COMMUNICATIONS WORLD HOLDINGS,NEW DELHI,Other telecommunications activities,5.00,0.07,
99,GLOBAL ONE (INDIA) PVT LTD,Netherlands,EGN B.V.,NEW DELHI,Other telecommunications activities,20.09,0.30,
100,DIMEXON (INDIA) HOLDING PVT. LTD.,Netherlands,DIMEXON INTERNATIONAL HOLDINGS B.V,MUMBAI,Other business support service activities n.e.c.,136.50,2.03,
101,INDIA MORTGAGE GURANATEE CORPORATION PRI,Philippines,ASIAN DEVELOPMENT BANK,NEW DELHI,Other credit granting,19.50,0.29,
102,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Romania,As per List  of 89 investors.,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.03,0.00,
103,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Romania,AS PER LIST,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.01,0.00,
104,ONLY RETAIL PVT LTD,Singapore,BEST SELLER UNITED SINGAPORE,MUMBAI,"Retail sale of readymade garments, hosiery",333.83,4.97,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,PTE LTD,,"goods, other articles of clothing and clothing accessories",,,
105,MARKS & SPENCER RELIANCE INDIA PVT LTD,Singapore,Marks and Spencer (Singapore) Investment,MUMBAI,Retail sale of household furniture,366.52,5.49,
106,UTV SOFTWARE COMMUNICATION LIMITED,Singapore,THE WALT DISNEY COMPANY SOUTHEAST ASIA),MUMBAI,Production of motion picture,"1,750.00",26.22,
107,MARKS & SPENCER RELIANCE INDIA PVT LTD,Singapore,Marks and Spencer (Singapore) Investment,MUMBAI,Retail sale of household furniture,192.42,2.88,
108,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Singapore,CORE INFRASTRUCTURE INDIA FUND PTE LTD,NEW DELHI,Activities of holding companies,40.87,0.61,
109,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,APHV INDIA INVESTCO PVT LTD,NEW DELHI,Activities of holding companies,18.36,0.27,
110,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,AAPC SINGOPORE PTE LTD,NEW DELHI,Activities of holding companies,16.32,0.24,
111,THALES INDIA PVT LTD (EAR: THALES INTERN,Singapore,THALES ASIA HOLDING PTE LIMITED,NEW DELHI,Architectural and engineering activities and related technical consultancy,9.95,0.15,
112,TATA SIA AIRLINE LIMITED,Singapore,SINGAPORE AIRLINES LIMITED,NEW DELHI,Passenger airways,735.00,11.01,
113,AXN NETWORKS INDIA PVT LTD,Singapore,South Asian Regional Investments Singapo,MUMBAI,Distribution of television programme,26.25,0.39,
114,AXN NETWORKS INDIA PVT LTD,Singapore,South Asian Regional Investments Singapo,MUMBAI,Distribution of television programme,8.75,0.13,
115,UPS SCS (WORLDWIDE LOGISTICS) INDIA PRIV,Singapore,UPS SCS (SINGAPORE) PTE LTD,MUMBAI,Other business support service activities n.e.c.,327.95,4.91,
116,ADITYA BIRLA HEALTH INSURANCE CO.LTD,South Africa,MMI Strategic Investments (PTY) Limited,MUMBAI,Non-life insurance,"1,962.74",29.20,
117,ORDAIN HEALTH CARE GLOBAL PVT LTD,Spain,"Chemo Espana, S.L",CHENNAI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",385.23,5.77,
118,HEXAGON METROLOGY INDIA PVT LTD,Sweden,HEXAGON METROLOGY AB,NEW DELHI,"Wholesale of other machinery, equipment and supplies n.e.c. including computer- controlled machine tools",9.80,0.15,
119,HEXAGON METROLOGY INDIA PVT LTD,Sweden,HEXAGON METROLOGY AB,NEW DELHI,"Wholesale of other machinery, equipment and supplies n.e.c. including computer- controlled machine tools",0.10,0.00,
120,HEXAGON METROLOGY INDIA PVT LTD,Sweden,HEXAGON AB,NEW DELHI,"Wholesale of other machinery, equipment and supplies n.e.c. including computer- controlled machine tools",0.00,0.00,
121,SWATCH GROUP (INDIA) RETAIL PRIVATE LIMI,Switzerland,TECHNOCORP HOLDING S.A,NEW DELHI,Retail sale of watches and clocks,20.00,0.30,
122,SWATCH GROUP (INDIA) RETAIL PRIVATE LIMI,Switzerland,TECHNOCORP HOLDING S.A,NEW DELHI,Retail sale of watches and clocks,30.00,0.45,
123,WUERTH INDUSTRIAL SERVICES INDIA PVT LTD,Switzerland,WUERTH INTERNATIONAL AG,MUMBAI,Sale of motor vehicle parts and accessories,29.63,0.44,
124,TATA SKY LTD,UAE,NDDS,MUMBAI,Other satellite telecommunications activities,405.74,6.08,
125,AXIS BANK LIMITED,UAE,RAMESH VENKATESAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.46,0.01,
126,TATA SKY LTD,UAE,NDDS,MUMBAI,Other satellite telecommunications activities,405.74,6.08,
127,TATA SKY LTD,UAE,NETWORK DIFITAL DISTRIBUTION SERVICES FZ,MUMBAI,Other satellite telecommunications activities,405.74,6.08,
128,AXIS BANK LIMITED,UAE,RAMESH VENKATESAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.41,0.01,
129,AXIS BANK LIMITED,UAE,RAMESH VENKATESAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.39,0.01,
130,AXIS BANK LIMITED,UAE,RAMESH VENKATESAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and",0.10,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,discount houses,,,
131,MARKS & SPENCER RELIANCE INDIA PVT LTD,United Kingdom,Marks and Spencer International Holdings,MUMBAI,Retail sale of household furniture,7.33,0.11,
132,MARKS & SPENCER RELIANCE INDIA PVT LTD,United Kingdom,Marks and Spencer International Holdings,MUMBAI,Retail sale of household furniture,3.85,0.06,
133,HSBC SECURITIES & CAPITAL MARKETS (I)  P,United Kingdom,HSBC INVESTMENT BANK HOLDINGS BV,MUMBAI,Business brokerage activities,23.15,0.35,
134,PENGUIN RANDOM HOUSE INDIA PVT.LTD.(PENG,United Kingdom,THE BOOK SERVICE LIMITED (UK) AS NOMINEE,NEW DELHI,"Publishing of books, brochures, leaflets and similar publications, including publishing encyclopedias",0.00,0.00,
135,PENGUIN RANDOM HOUSE INDIA PVT.LTD.(PENG,United Kingdom,THE RANDOM HOUSE GROUP LIMITED (UK),NEW DELHI,"Publishing of books, brochures, leaflets and similar publications, including publishing encyclopedias",0.15,0.00,
136,CELESTIS PHARMACEUTICALS PVT. LTD.,United Kingdom,ABHAYA INVESTMENTS LTD,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",5.71,0.09,
137,HSBC SECURITIES & CAPITAL MARKETS (I)  P,United Kingdom,HSBC INVESTMENT BANK HOLDINGS BV,MUMBAI,Business brokerage activities,"9,465.30",141.83,
138,HAYMARKET MEDIA (INDIA) PVT LTD,United Kingdom,HAYMARKET WORLDWIDE LTD,MUMBAI,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",5.00,0.07,
139,HSBC SECURITIES & CAPITAL MARKETS (I)  P,United Kingdom,HSBC INVESTMENT BANK HOLDINGS BV,MUMBAI,Business brokerage activities,136.35,2.04,
140,SUN PHARMACEUTICAL INDUSTRIES LIMITED,United Kingdom,SAMEER TRIVEDI,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.35,0.01,
141,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,ATUL CHHABRA (1656) & KASHMIRA B. PATEL,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,1.04,0.02,
142,ICICI BANK LTD.,U.S.A,BHYJU KANAMKANDY,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.50,0.01,
143,ICICI BANK LTD.,U.S.A,MURALI RAMAKRISHNAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",2.51,0.04,
144,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,AS PER LIST,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,2.17,0.03,
145,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,AS PER LIST,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,3.55,0.05,
146,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,AS PER LIST,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.03,0.00,
147,SUNRIDER  INDIA PVT. LTD.,U.S.A,"SUNRIDER INDIA INC.,",NEW DELHI,Other retail sale in non-specialized stores,37.01,0.55,
148,THOMAS INTERNATIONAL PUBLISHING CO.INDIA,U.S.A,THOMAS INTERNATIONAL PUBLISHING COMPANY,NEW DELHI,Publishing of mailing lists and telephone directories,123.09,1.84,
149,PREMIER MEDICAL CORPORATION LTD,U.S.A,TRANSNATIONAL TECHNOLOGIES INC,MUMBAI,Other business support service activities n.e.c.,79.57,1.19,
150,THOMAS INTERNATIONAL PUBLISHING CO.INDIA,U.S.A,THOMAS INTERNATIONAL PUBLISHING COMPANY,NEW DELHI,Publishing of mailing lists and telephone directories,2.32,0.03,
151,INDUSIND BANK LTD.,U.S.A,VARIOUS,MUMBAI,"Monetary intermediation of commercial banks, saving banks. postal savings bank and
discount houses","27,330.96",408.29,
152,J.P.MORGAN INDIA PVT LTD (JARDINE FLEMMI,U.S.A,JP MORGAN CHASE FUNDING INC,MUMBAI,Activities auxiliary to financial service activities n.e.c.,937.20,14.00,
153,IAPMO PLUMBING CODES & STANDARDS INDIA P,U.S.A,INTERNATIONAL ASSOCIATION OF PLUMBING AN,BANGALORE,Technical testing and analysis,2.50,0.04,
154,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,As per list 39 individuals.,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.02,0.00,
